"","circ_id","mmu1","mmu2","mmu3"
"1","1:100406082|100412463",NA,"2.000",NA
"1455","11:35715222|35718293",NA,NA,"2.000"
"1456","11:35715222|35719640",NA,NA,"4.000"
"1457","11:35743020|35744304",NA,"2.000","9.000"
"1458","11:35752635|35758254",NA,NA,"3.000"
"1459","11:35774074|35789522","1.000",NA,"2.000"
"1460","11:35778889|35806112",NA,"1.000",NA
"1461","11:3608671|3622374",NA,"1.000","4.000"
"1462","11:3876102|3881521","3.000",NA,NA
"1463","11:40573290|40578622",NA,"1.000","3.000"
"1464","11:40594608|40596895",NA,NA,"5.000"
"1465","11:40650613|40661146","2.000",NA,NA
"1466","11:4127412|4127620",NA,"1.000",NA
"1467","11:43328171|43330144",NA,NA,"6.000"
"1468","11:4432091|4432342","3.000",NA,NA
"1469","11:44415754|44433547","3.000","1.000","8.000"
"1470","11:44433455|44442646","1.000",NA,NA
"1471","11:4457589|4467907","5.000",NA,NA
"1472","11:4467740|4470914",NA,NA,"2.000"
"1473","11:4467740|4478406",NA,NA,"4.000"
"1474","11:4467740|4481305",NA,"5.000","12.000"
"1475","11:4467740|4496268",NA,"1.000","5.000"
"1476","11:4477835|4481305","1.000",NA,"8.000"
"1477","11:4477835|4496268",NA,NA,"5.000"
"1478","11:45774536|45778333",NA,"1.000",NA
"1479","11:45774536|45785956",NA,"4.000","3.000"
"1480","11:45784697|45785956",NA,NA,"6.000"
"1481","11:4590382|4599869",NA,NA,"3.000"
"1482","11:4599739|4606336",NA,NA,"3.000"
"1483","11:4608214|4609384",NA,NA,"3.000"
"1484","11:4629251|4630182",NA,NA,"3.000"
"1485","11:4730577|4734563",NA,NA,"18.000"
"1486","11:4732186|4734563","4.000","1.000",NA
"1487","11:4753677|4758325",NA,"2.000","2.000"
"1488","11:4753677|4768627","3.000",NA,"1.000"
"1489","11:4753677|4770493",NA,"1.000","5.000"
"1490","11:4756253|4770493",NA,NA,"1.000"
"1491","11:4758256|4770493","1.000","1.000","1.000"
"1492","11:4766081|4770493",NA,"1.000","2.000"
"1493","11:48692489|48693247",NA,NA,"3.000"
"1494","11:49103521|49106625",NA,NA,"1.000"
"1495","11:49565956|49593481",NA,NA,"1.000"
"1496","11:49575913|49576179",NA,"1.000",NA
"1497","11:49577673|49593481","5.000","1.000","10.000"
"1498","11:4959529|4966851",NA,"1.000",NA
"1499","11:4976244|4976410",NA,NA,"2.000"
"1500","11:49976567|49986807","5.000",NA,"5.000"
"1501","11:50097986|50098743",NA,"1.000",NA
"1502","11:50154076|50157837",NA,NA,"2.000"
"1503","11:50189955|50191881","16.000","2.000","11.000"
"1504","11:50192584|50199756",NA,NA,"2.000"
"1505","11:50195152|50199756",NA,NA,"1.000"
"1506","11:50198296|50199756","12.000",NA,"21.000"
"1507","11:50198296|50201694",NA,"4.000","7.000"
"1508","11:50285747|50289317",NA,"1.000","2.000"
"1509","11:50295280|50297310",NA,NA,"1.000"
"1510","11:50297193|50305409",NA,NA,"2.000"
"1511","11:50305343|50308134",NA,NA,"1.000"
"1512","11:5035895|5041982",NA,NA,"7.000"
"1513","11:51157997|51162849",NA,NA,"1.000"
"1514","11:51162626|51164453",NA,NA,"1.000"
"1515","11:51411785|51412134","1.000",NA,NA
"1516","11:51482225|51483112",NA,NA,"4.000"
"1517","11:51484430|51484968","6.000",NA,NA
"1518","11:51489102|51489567",NA,NA,"3.000"
"1519","11:51517562|51520488","4.000",NA,NA
"1520","11:51518448|51518852",NA,"2.000","1.000"
"1521","11:51597954|51599872",NA,"4.000","2.000"
"1522","11:51599761|51617421",NA,NA,"3.000"
"1523","11:51603015|51606072",NA,NA,"4.000"
"1524","11:51612641|51620405",NA,NA,"1.000"
"1525","11:51617311|51620402",NA,"1.000",NA
"1526","11:52008813|52010131",NA,NA,"6.000"
"1527","11:52127663|52133487",NA,"1.000",NA
"1528","11:52127663|52135948","1.000","2.000","8.000"
"1529","11:52345285|52345500","1.000",NA,NA
"1530","11:52684525|52684677","3.000",NA,NA
"1531","11:53155860|53183141",NA,NA,"2.000"
"1532","11:53156750|53157945","1.000","5.000","21.000"
"1533","11:53174926|53179991","1.000",NA,NA
"1534","11:53174926|53183141","3.000",NA,NA
"1535","11:53177679|53183141",NA,NA,"2.000"
"1536","11:53258901|53259613",NA,"1.000",NA
"1537","11:53290415|53293393","6.000",NA,NA
"1538","11:53290415|53295429",NA,"1.000",NA
"1539","11:53302662|53302883",NA,NA,"1.000"
"1540","11:53348742|53349181",NA,NA,"5.000"
"1541","11:53356322|53357083",NA,NA,"2.000"
"1542","11:53543060|53546445",NA,NA,"1.000"
"1543","11:53664481|53666879","4.000",NA,NA
"1544","11:54371075|54380166",NA,NA,"2.000"
"1545","11:54378537|54384220",NA,NA,"3.000"
"1546","11:54434404|54459322",NA,"1.000","3.000"
"1547","11:54559439|54567241",NA,NA,"4.000"
"1548","11:54582063|54582566","2.000",NA,NA
"1549","11:54631063|54651165",NA,NA,"1.000"
"1550","11:5471922|5473467",NA,"6.000",NA
"1551","11:54886153|54886303",NA,"2.000",NA
"1552","11:54895973|54899976",NA,"1.000",NA
"1553","11:57378392|57396183","2.000",NA,NA
"1554","11:57380935|57405117",NA,NA,"3.000"
"1555","11:57383829|57396183",NA,NA,"1.000"
"1556","11:57396059|57400292","2.000",NA,NA
"1557","11:57404067|57405117","5.000",NA,NA
"1558","11:57612120|57616487",NA,NA,"9.000"
"1559","11:57931216|57934876",NA,NA,"10.000"
"1560","11:57933261|57933468",NA,"1.000",NA
"1561","11:57948151|57950246",NA,"1.000",NA
"1562","11:58000381|58006201",NA,NA,"1.000"
"1563","11:58017257|58028589","1.000",NA,NA
"1564","11:58025589|58027821",NA,NA,"1.000"
"1565","11:58038652|58039314",NA,NA,"1.000"
"1566","11:5909296|5912758",NA,"1.000",NA
"1567","11:5909296|5914662",NA,NA,"3.000"
"1568","11:59103447|59104349","1.000",NA,NA
"1569","11:59328803|59329339",NA,NA,"6.000"
"1570","11:59365266|59365479",NA,"1.000",NA
"1571","11:59382940|59384673",NA,"3.000",NA
"1572","11:59640344|59643886",NA,"1.000",NA
"1573","11:59655205|59656351",NA,"2.000",NA
"1574","11:59660709|59662528",NA,NA,"3.000"
"1575","11:59717115|59718851",NA,NA,"2.000"
"1576","11:59723709|59723970",NA,"1.000",NA
"1577","11:60031066|60035331",NA,NA,"2.000"
"1578","11:60149681|60165828",NA,NA,"9.000"
"1579","11:60151880|60165828",NA,"1.000",NA
"1580","11:60161143|60165828","6.000","5.000","7.000"
"1581","11:60161143|60171109",NA,NA,"5.000"
"1582","11:60165749|60171109",NA,"2.000",NA
"1583","11:60323158|60329399",NA,"1.000","10.000"
"1584","11:60347376|60350914",NA,NA,"4.000"
"1585","11:60351612|60353460","4.000","2.000","15.000"
"1586","11:60597018|60597399",NA,"1.000","1.000"
"1587","11:60603204|60603867",NA,NA,"1.000"
"1588","11:60606628|60607158","3.000",NA,NA
"1589","11:60631337|60631497",NA,"1.000",NA
"1590","11:6063242|6075561",NA,"3.000","11.000"
"1591","11:60638691|60640415",NA,NA,"6.000"
"1592","11:60680421|60681088",NA,NA,"1.000"
"1593","11:61046005|61048088",NA,NA,"4.000"
"1594","11:61275795|61275962","3.000",NA,NA
"1595","11:61413231|61426209","2.000",NA,NA
"1596","11:61423343|61426209",NA,"2.000","16.000"
"1597","11:61423343|61435154",NA,NA,"1.000"
"1598","11:61423343|61437737",NA,NA,"2.000"
"1599","11:6143153|6143476","21.000","14.000","28.000"
"1600","11:61678254|61682409","2.000",NA,"2.000"
"1601","11:61710110|61715553",NA,NA,"1.000"
"1602","11:61710110|61725779","3.000",NA,NA
"1603","11:61710110|61732157",NA,NA,"4.000"
"1604","11:61777525|61800772","2.000",NA,"2.000"
"1605","11:61800673|61807092",NA,NA,"1.000"
"1606","11:62037131|62052736",NA,"3.000","5.000"
"1607","11:62042695|62052736",NA,"3.000","1.000"
"1608","11:62174422|62176711",NA,NA,"3.000"
"1609","11:62174422|62183044",NA,NA,"2.000"
"1610","11:62229684|62236144",NA,NA,"3.000"
"1611","11:62240178|62245514",NA,NA,"4.000"
"1612","11:62267460|62274201",NA,NA,"1.000"
"1613","11:62280516|62286054",NA,NA,"7.000"
"1614","11:62289090|62292093",NA,"1.000",NA
"1615","11:62289090|62295292","3.000",NA,NA
"1616","11:62301645|62313893",NA,NA,"1.000"
"1617","11:62310423|62329341",NA,NA,"2.000"
"1618","11:62324388|62329341","1.000","2.000","15.000"
"1619","11:62415949|62418406","1.000",NA,NA
"1620","11:6261008|6263979",NA,NA,"2.000"
"1621","11:6261008|6266855","3.000",NA,NA
"1622","11:6261008|6267080","3.000",NA,NA
"1623","11:6263787|6266855",NA,"1.000",NA
"1624","11:6263787|6267080","46.000","28.000","73.000"
"1625","11:6284532|6292623",NA,NA,"7.000"
"1626","11:6288557|6289928","3.000",NA,NA
"1627","11:64290309|64290536",NA,"2.000",NA
"1628","11:64870543|64872500",NA,NA,"3.000"
"1629","11:64870543|64873650","5.000",NA,NA
"1630","11:64929441|64932336",NA,"2.000",NA
"1631","11:64948122|64966036","4.000",NA,NA
"1632","11:6534519|6535217",NA,"2.000",NA
"1633","11:65458170|65458330",NA,"1.000",NA
"1634","11:65597809|65603123",NA,"1.000",NA
"1635","11:65597809|65647197","1.000",NA,NA
"1636","11:65712755|65713764","1.000",NA,NA
"1637","11:6586709|6587282",NA,NA,"1.000"
"1638","11:6586709|6587324",NA,NA,"4.000"
"1639","11:6587254|6588577",NA,NA,"3.000"
"1640","11:67778575|67783974",NA,"2.000","1.000"
"1641","11:67872952|67911824",NA,NA,"1.000"
"1642","11:67875388|67911824",NA,"1.000",NA
"1643","11:67902140|67911824",NA,"1.000","1.000"
"1644","11:68148280|68168437",NA,NA,"7.000"
"1645","11:68730696|68732994",NA,NA,"4.000"
"1646","11:69238578|69240109",NA,"3.000",NA
"1647","11:69248190|69248722",NA,"1.000",NA
"1648","11:69530215|69532966",NA,"2.000",NA
"1649","11:69540553|69542549","16.000","7.000","17.000"
"1650","11:69541288|69542549","1.000","2.000",NA
"1651","11:69549391|69553322","2.000",NA,NA
"1652","11:69745783|69747951",NA,NA,"1.000"
"1653","11:69799503|69799918",NA,NA,"2.000"
"1654","11:69805758|69806610","2.000",NA,NA
"1655","11:69805758|69806780",NA,NA,"3.000"
"1656","11:69860318|69866086",NA,NA,"3.000"
"1657","11:70292475|70296558",NA,NA,"2.000"
"1658","11:70328135|70328854","1.000",NA,NA
"1659","11:70432844|70433825","8.000",NA,NA
"1660","11:70433409|70433921",NA,"3.000","4.000"
"1661","11:70531719|70531980","1.000",NA,NA
"1662","11:70540737|70541670",NA,NA,"1.000"
"1663","11:70593211|70593666",NA,NA,"1.000"
"1664","11:70599267|70599852",NA,"1.000",NA
"1665","11:70765571|70775794","18.000","2.000","1.000"
"1666","11:70765571|70777997",NA,NA,"3.000"
"1667","11:70775590|70775794",NA,NA,"1.000"
"1668","11:70784394|70791433","1.000",NA,NA
"1669","11:71983353|72011008",NA,NA,"5.000"
"1670","11:72347128|72365596",NA,NA,"2.000"
"1671","11:72536362|72553999","5.000",NA,"1.000"
"1672","11:72536362|72563883",NA,NA,"1.000"
"1673","11:72553896|72563883",NA,NA,"1.000"
"1674","11:72602982|72605309","7.000","1.000","7.000"
"1675","11:72602982|72613589","6.000",NA,NA
"1676","11:72708756|72717088",NA,NA,"2.000"
"1677","11:72758747|72766186",NA,NA,"3.000"
"1678","11:72797657|72801147",NA,NA,"2.000"
"1679","11:72944248|72956525",NA,NA,"2.000"
"1680","11:72964051|72964346",NA,NA,"1.000"
"1681","11:73548237|73548455","3.000",NA,NA
"1682","11:74373188|74375797","3.000",NA,NA
"1683","11:74547248|74548165","3.000","2.000","24.000"
"1684","11:74573060|74590346",NA,NA,"2.000"
"1685","11:74674883|74678521",NA,NA,"9.000"
"1686","11:74801868|74803959",NA,NA,"2.000"
"1687","11:74836347|74837045",NA,NA,"7.000"
"1688","11:74929438|74932862",NA,"2.000","1.000"
"1689","11:75030018|75033729","1.000",NA,NA
"1690","11:75280897|75282053","2.000","2.000","11.000"
"1691","11:75280897|75284362","4.000",NA,NA
"1692","11:75290426|75294366",NA,"1.000",NA
"1693","11:75394096|75394571",NA,NA,"1.000"
"1694","11:75433983|75436656","29.000","9.000","69.000"
"1695","11:75451724|75459316",NA,"2.000","2.000"
"1696","11:75483014|75489154","2.000",NA,NA
"1697","11:75489005|75503129",NA,"1.000",NA
"1698","11:75583022|75583558",NA,"2.000","5.000"
"1699","11:75642618|75650254",NA,NA,"1.000"
"1700","11:75642706|75650254",NA,NA,"4.000"
"1701","11:75715987|75722125",NA,"1.000",NA
"1702","11:75745129|75769861",NA,NA,"2.000"
"1703","11:75745129|75782391",NA,NA,"2.000"
"1704","11:75797343|75801885",NA,NA,"2.000"
"1705","11:75967260|75973510","1.000","1.000",NA
"1706","11:75971972|75973510",NA,NA,"3.000"
"1707","11:76004766|76008631",NA,NA,"4.000"
"1708","11:76004766|76029220",NA,NA,"2.000"
"1709","11:76007884|76012422",NA,NA,"1.000"
"1710","11:76012343|76029220",NA,NA,"1.000"
"1711","11:76025234|76029220","2.000","1.000","2.000"
"1712","11:76112685|76125351","4.000",NA,NA
"1713","11:76112796|76131748",NA,"2.000",NA
"1714","11:76128494|76131748","2.000",NA,NA
"1715","11:76163201|76169417",NA,"3.000","2.000"
"1716","11:76300467|76302025",NA,NA,"5.000"
"1717","11:76639333|76645626","1.000",NA,"6.000"
"1718","11:76702520|76704478",NA,NA,"1.000"
"1719","11:76731213|76731461","2.000","1.000","4.000"
"1720","11:77340213|77341048",NA,"2.000",NA
"1721","11:77436114|77440301","4.000",NA,NA
"1722","11:77450567|77451247","1.000",NA,NA
"1723","11:77454489|77470671",NA,NA,"2.000"
"1724","11:77456571|77476320",NA,NA,"2.000"
"1725","11:77462432|77470671",NA,NA,"1.000"
"1726","11:77462432|77476320",NA,NA,"7.000"
"1727","11:77464521|77468194",NA,"2.000",NA
"1728","11:77466398|77470671",NA,"1.000",NA
"1729","11:77470599|77492587",NA,"2.000",NA
"1730","11:77582367|77584080",NA,NA,"7.000"
"1731","11:77708444|77712012",NA,NA,"6.000"
"1732","11:77738750|77740312","1.000",NA,NA
"1733","11:77903996|77906456",NA,NA,"4.000"
"1734","11:77903996|77909055",NA,NA,"1.000"
"1735","11:78051618|78051774",NA,NA,"3.000"
"1736","11:78102622|78104288",NA,NA,"5.000"
"1737","11:78169872|78170741",NA,"1.000","3.000"
"1738","11:78170534|78170952",NA,"1.000",NA
"1739","11:78172053|78175108",NA,NA,"2.000"
"1740","11:78216178|78216615",NA,NA,"1.000"
"1741","11:78216793|78217239","6.000",NA,NA
"1742","11:78226252|78227656","7.000",NA,"1.000"
"1743","11:78356750|78357343","3.000",NA,NA
"1744","11:78398571|78400640",NA,"3.000",NA
"1745","11:78404745|78410131",NA,NA,"4.000"
"1746","11:78508960|78517532",NA,"1.000",NA
"1747","11:79275000|79281225",NA,"3.000",NA
"1748","11:79275000|79300377",NA,NA,"1.000"
"1749","11:79325670|79329674",NA,NA,"5.000"
"1750","11:79327515|79329674",NA,"1.000",NA
"1751","11:79334594|79339162",NA,NA,"2.000"
"1752","11:79834056|79848214",NA,NA,"1.000"
"1753","11:79886442|79904421",NA,NA,"1.000"
"1754","11:79910504|79916137",NA,NA,"3.000"
"1755","11:79915735|79916780",NA,"1.000","3.000"
"1756","11:79947277|79951011",NA,NA,"1.000"
"1757","11:80047770|80056645","4.000",NA,NA
"1758","11:80111083|80118158",NA,NA,"1.000"
"1759","11:80114728|80118158","1.000","1.000","4.000"
"1760","11:80141033|80141952","5.000","1.000","6.000"
"1761","11:80259353|80264530","2.000",NA,NA
"1762","11:80285111|80295592",NA,"1.000",NA
"1763","11:80286617|80294488",NA,NA,"1.000"
"1764","11:80448259|80492632",NA,NA,"2.000"
"1765","11:80477672|80492632",NA,NA,"1.000"
"1766","11:82674171|82679741",NA,NA,"2.000"
"1767","11:82772426|82774790",NA,NA,"1.000"
"1768","11:83199040|83215582","5.000",NA,NA
"1769","11:83212764|83215582",NA,NA,"7.000"
"1770","11:83215336|83215582",NA,NA,"2.000"
"1771","11:83227591|83237733",NA,NA,"7.000"
"1772","11:83375476|83375905",NA,"1.000","2.000"
"1773","11:83375476|83378239","5.000",NA,"1.000"
"1774","11:83375476|83388122",NA,NA,"3.000"
"1775","11:83388719|83393678",NA,NA,"3.000"
"1776","11:83391940|83393678",NA,"1.000",NA
"1777","11:83663070|83672518",NA,"1.000",NA
"1778","11:83839270|83840520","2.000","2.000",NA
"1779","11:83867905|83873133",NA,NA,"5.000"
"1780","11:83878738|83885288",NA,NA,"3.000"
"1781","11:83878738|83899595",NA,NA,"5.000"
"1782","11:83885154|83893061","2.000","2.000",NA
"1783","11:83899443|83900376",NA,"2.000","2.000"
"1784","11:83910416|83910779","3.000",NA,NA
"1785","11:8393934|8403250",NA,NA,"4.000"
"1786","11:83976388|83978008",NA,"3.000",NA
"1787","11:83977936|83982845","1.000",NA,NA
"1788","11:84068620|84086513",NA,NA,"3.000"
"1789","11:84072963|84105116",NA,NA,"7.000"
"1790","11:84075608|84086513",NA,NA,"2.000"
"1791","11:84083904|84086513","442.000","581.000","1635.000"
"1792","11:84083904|84105116",NA,NA,"2.000"
"1793","11:84083904|84106798",NA,"5.000","2.000"
"1794","11:84083904|84122587",NA,NA,"4.000"
"1795","11:84083904|84136683",NA,NA,"1.000"
"1796","11:84086263|84086513","8.000","8.000","7.000"
"1797","11:84086263|84105116",NA,NA,"7.000"
"1798","11:84086263|84106798",NA,NA,"2.000"
"1799","11:84104983|84106798",NA,"1.000",NA
"1800","11:84104983|84122587",NA,NA,"2.000"
"1801","11:84113967|84117058",NA,"2.000",NA
"1802","11:84113967|84122587","5.000","3.000","6.000"
"1803","11:84115269|84122587",NA,"2.000","4.000"
"1804","11:84116959|84122587","2.000",NA,NA
"1805","11:84169691|84237641",NA,NA,"2.000"
"1806","11:84229139|84237641","5.000",NA,"4.000"
"1807","11:84262326|84273370",NA,NA,"2.000"
"1808","11:84271327|84273370",NA,NA,"11.000"
"1809","11:8428224|8429665","29.000","19.000","88.000"
"1810","11:8428224|8431762",NA,NA,"2.000"
"1811","11:84333391|84340013",NA,"5.000","1.000"
"1812","11:84333391|84345899",NA,NA,"1.000"
"1813","11:84333391|84348718",NA,NA,"2.000"
"1814","11:84333391|84363992",NA,NA,"1.000"
"1815","11:84358286|84363992",NA,NA,"4.000"
"1816","11:84400484|84401243",NA,NA,"2.000"
"1817","11:84400484|84402404",NA,"2.000",NA
"1818","11:8442092|8469570",NA,NA,"3.000"
"1819","11:8468198|8469570","80.000","82.000","266.000"
"1820","11:8468198|8482509","11.000","3.000","7.000"
"1821","11:84727190|84727550",NA,NA,"1.000"
"1822","11:84744879|84753144","2.000",NA,NA
"1823","11:8480871|8482509",NA,NA,"2.000"
"1824","11:84908455|84910702",NA,NA,"1.000"
"1825","11:84908455|84913731",NA,NA,"6.000"
"1826","11:84919886|84923049",NA,"2.000",NA
"1827","11:84919886|84925132",NA,NA,"2.000"
"1828","11:84968090|84972075",NA,"1.000",NA
"1829","11:85217689|85230622",NA,NA,"2.000"
"1830","11:85256377|85261989",NA,NA,"1.000"
"1831","11:8529082|8565851",NA,NA,"2.000"
"1832","11:8529082|8592160","3.000",NA,NA
"1833","11:85445015|85474820",NA,"4.000","3.000"
"1834","11:85467607|85474820",NA,NA,"3.000"
"1835","11:8550554|8592160","2.000",NA,"8.000"
"1836","11:85804062|85804204","1.000",NA,NA
"1837","11:85965104|85999714",NA,NA,"1.000"
"1838","11:86077790|86083814",NA,NA,"5.000"
"1839","11:86127364|86133864",NA,NA,"1.000"
"1840","11:86403631|86426286",NA,NA,"2.000"
"1841","11:86423597|86426286","41.000","40.000","71.000"
"1842","11:86439608|86452202",NA,NA,"1.000"
"1843","11:86551948|86556704",NA,"2.000","1.000"
"1844","11:86600891|86601238","1.000",NA,NA
"1845","11:86623330|86623492",NA,NA,"3.000"
"1846","11:86623330|86624670",NA,NA,"1.000"
"1847","11:86661855|86664724",NA,NA,"3.000"
"1848","11:87028415|87040189",NA,NA,"3.000"
"1849","11:87033952|87040189",NA,NA,"3.000"
"1850","11:87036289|87037883",NA,"2.000","2.000"
"1851","11:87036289|87054695",NA,NA,"1.000"
"1852","11:87037759|87040189",NA,"1.000",NA
"1853","11:87050646|87058342","7.000","1.000",NA
"1854","11:87075709|87077341","8.000",NA,"3.000"
"1855","11:87096758|87109156",NA,NA,"4.000"
"1856","11:87489688|87491998",NA,"2.000","2.000"
"1857","11:87493233|87495976",NA,NA,"1.000"
"1858","11:87609203|87618956",NA,NA,"4.000"
"1859","11:87617975|87618956","4.000",NA,NA
"1860","11:87697609|87697777","1.000",NA,NA
"1861","11:87872120|87874836",NA,NA,"2.000"
"1862","11:87940802|87943865","1.000",NA,NA
"1863","11:87963882|87967200",NA,NA,"2.000"
"1864","11:88060390|88061000","2.000","3.000","3.000"
"1865","11:88729755|88736691",NA,NA,"4.000"
"1866","11:88819990|88821171",NA,NA,"1.000"
"1867","11:88821033|88835356",NA,NA,"2.000"
"1868","11:88825403|88826777",NA,NA,"4.000"
"1869","11:88827839|88835356",NA,NA,"2.000"
"1870","11:88832109|88835356","3.000",NA,NA
"1871","11:88871894|88873476",NA,NA,"5.000"
"1872","11:88932273|88940726","2.000",NA,NA
"1873","11:88932987|88940726","6.000","2.000","7.000"
"1874","11:89734341|89734652",NA,"1.000",NA
"1875","11:90231612|90236804",NA,NA,"10.000"
"1876","11:90561909|90565645",NA,NA,"1.000"
"1877","11:93795984|93803284","2.000","1.000","12.000"
"1878","11:93795988|93803284",NA,NA,"7.000"
"1879","11:93879083|93879229",NA,NA,"3.000"
"1880","11:93898750|93915823",NA,NA,"2.000"
"1881","11:93904448|93939384",NA,"2.000","1.000"
"1882","11:93915742|93939384",NA,NA,"1.000"
"1883","11:93927425|93939384","1.000","3.000","2.000"
"1884","11:93934397|93939384",NA,"5.000","5.000"
"1885","11:93958718|93962512",NA,"1.000",NA
"1886","11:93988043|93997608",NA,NA,"1.000"
"1887","11:93990932|94005175",NA,NA,"7.000"
"1888","11:94046613|94051541","1.000",NA,NA
"1889","11:94186745|94186906",NA,NA,"1.000"
"1890","11:94192330|94200517","5.000",NA,NA
"1891","11:94194667|94200517","2.000",NA,"1.000"
"1892","11:94460766|94464054",NA,NA,"3.000"
"1893","11:94892135|94892739","1.000",NA,NA
"1894","11:95177155|95185471",NA,NA,"2.000"
"1895","11:95180597|95185471",NA,"3.000","6.000"
"1896","11:95254824|95262359",NA,"1.000",NA
"1897","11:95281103|95281504",NA,NA,"2.000"
"1898","11:95361347|95362170","1.000","2.000",NA
"1899","11:95365056|95376785",NA,NA,"1.000"
"1900","11:95643700|95644881","3.000",NA,NA
"1901","11:96212936|96214271",NA,NA,"1.000"
"1902","11:96661464|96664048",NA,"3.000","3.000"
"1903","11:96718755|96719049",NA,NA,"4.000"
"1904","11:96744260|96747549",NA,NA,"5.000"
"1905","11:96746081|96748417",NA,NA,"2.000"
"1906","11:97030297|97040441","10.000",NA,"7.000"
"1907","11:97037125|97040441","1.000",NA,NA
"1908","11:97103105|97104704","5.000",NA,NA
"1909","11:97104596|97131869",NA,"1.000",NA
"1910","11:97113776|97117694",NA,NA,"3.000"
"1911","11:97117554|97126995",NA,"1.000",NA
"1912","11:97120655|97129084",NA,NA,"4.000"
"1913","11:97122714|97129084",NA,NA,"10.000"
"1914","11:97122714|97133629","1.000",NA,NA
"1915","11:97263891|97269537",NA,"3.000",NA
"1916","11:97268761|97269537","2.000",NA,"1.000"
"1917","11:97279937|97280542",NA,"7.000",NA
"1918","11:97409435|97409582",NA,"2.000",NA
"1919","11:97439705|97442804","3.000",NA,"6.000"
"1920","11:97442502|97442804","5.000","2.000","8.000"
"1921","11:97442502|97457599","1.000",NA,"1.000"
"1922","11:97610555|97611307",NA,NA,"1.000"
"1923","11:97617530|97623581","7.000",NA,"13.000"
"1924","11:97768782|97770414",NA,NA,"2.000"
"1925","11:97930444|97931345",NA,"2.000",NA
"1926","11:97933354|97933680",NA,NA,"1.000"
"1927","11:98000319|98019202",NA,NA,"2.000"
"1928","11:98054625|98060278",NA,NA,"2.000"
"1929","11:98131604|98134398",NA,NA,"1.000"
"1930","11:98154295|98158684","32.000","30.000","63.000"
"1931","11:98154295|98158688",NA,NA,"1.000"
"1932","11:98154299|98158684",NA,NA,"8.000"
"1933","11:98262895|98264396","9.000","1.000","14.000"
"1934","11:98267315|98268368",NA,"2.000",NA
"1935","11:98307518|98313015",NA,NA,"1.000"
"1936","11:98310914|98313962",NA,NA,"1.000"
"1937","11:98581288|98581845",NA,"2.000",NA
"1938","11:98584208|98585119",NA,NA,"7.000"
"1939","11:98693093|98696365",NA,NA,"1.000"
"1940","11:98736700|98738235",NA,NA,"2.000"
"1941","11:98737901|98738235",NA,"2.000",NA
"1942","11:98841070|98841621","3.000",NA,NA
"1943","11:98886069|98886799",NA,"2.000",NA
"1944","12:100100615|100106397",NA,NA,"1.000"
"1945","12:100116075|100117593",NA,"1.000",NA
"1946","12:100291802|100298978",NA,NA,"3.000"
"1947","12:100291802|100321378",NA,NA,"3.000"
"1948","12:100321261|100373322","5.000",NA,NA
"1949","12:100339802|100353453",NA,NA,"4.000"
"1950","12:100381393|100385829",NA,NA,"3.000"
"1951","12:100413118|100432569","4.000","1.000","2.000"
"1952","12:100413118|100436876","1.000",NA,NA
"1953","12:100461530|100466489","6.000",NA,"5.000"
"1954","12:100582255|100585900",NA,"8.000","6.000"
"1955","12:100620305|100620748","11.000","3.000","5.000"
"1956","12:100620529|100644848",NA,NA,"1.000"
"1957","12:100849606|100849784",NA,NA,"1.000"
"1958","12:100919545|100932720",NA,NA,"1.000"
"1959","12:101009701|101010918",NA,NA,"3.000"
"1960","12:101009701|101016077",NA,"2.000","2.000"
"1961","12:101010748|101017921",NA,NA,"2.000"
"1962","12:101612838|101660932",NA,"1.000","1.000"
"1963","12:101615265|101619112",NA,"1.000",NA
"1964","12:101615265|101632003",NA,NA,"1.000"
"1965","12:101615389|101660932",NA,"2.000","3.000"
"1966","12:101623279|101660932",NA,NA,"5.000"
"1967","12:101631811|101660932","6.000","1.000","77.000"
"1968","12:101631811|101675795","6.000",NA,"3.000"
"1969","12:101644772|101659465","2.000",NA,"9.000"
"1970","12:101644772|101660932",NA,"6.000","81.000"
"1971","12:101644772|101675795","1.000",NA,"13.000"
"1972","12:101655218|101660932","19.000","5.000","61.000"
"1973","12:101655218|101675795",NA,NA,"3.000"
"1974","12:101659373|101660932",NA,"1.000","16.000"
"1975","12:101670977|101675795",NA,NA,"2.000"
"1976","12:101672641|101675795",NA,NA,"1.000"
"1977","12:101828851|101839745",NA,NA,"3.000"
"1978","12:101899226|101914698",NA,NA,"3.000"
"1979","12:102438256|102450833",NA,NA,"1.000"
"1980","12:102450662|102462022",NA,NA,"2.000"
"1981","12:102458271|102460118",NA,NA,"1.000"
"1982","12:102572347|102589684",NA,NA,"3.000"
"1983","12:102727629|102728240",NA,"3.000",NA
"1984","12:102734328|102737539",NA,"1.000",NA
"1985","12:102756963|102779102",NA,NA,"4.000"
"1986","12:102760004|102779102","1.000",NA,NA
"1987","12:102761431|102774319",NA,NA,"1.000"
"1988","12:102774158|102779102","1.000","1.000","4.000"
"1989","12:103021780|103021966","2.000",NA,NA
"1990","12:103400501|103403074","1.000",NA,NA
"1991","12:104704027|104705841","1.000",NA,NA
"1992","12:104758097|104770929",NA,"1.000","3.000"
"1993","12:104934140|104935632",NA,NA,"2.000"
"1994","12:105140142|105140383",NA,"1.000",NA
"1995","12:105587465|105593065",NA,NA,"1.000"
