"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100288339|100300837","2.000",NA,NA
"7361","scaffold0005:3606735|3607107","38.000","13.000","18.000"
"7362","scaffold0005:3606735|3616387",NA,"4.000",NA
"7363","scaffold0005:36427389|36494499","5.000",NA,NA
"7364","scaffold0005:36459594|36460007",NA,NA,"6.000"
"7365","scaffold0005:36459609|36460007","1.000",NA,NA
"7366","scaffold0005:36494438|36504167","7.000",NA,NA
"7367","scaffold0005:36494438|36505541","3.000",NA,NA
"7368","scaffold0005:36503971|36505541","7.000",NA,NA
"7369","scaffold0005:37219307|37225874","6.000",NA,NA
"7370","scaffold0005:37295388|37301681","13.000",NA,NA
"7371","scaffold0005:3746554|3747082","162.000","61.000","84.000"
"7372","scaffold0005:3746554|3758927","1.000",NA,NA
"7373","scaffold0005:3769607|3771694","1.000",NA,"1.000"
"7374","scaffold0005:3769607|3777153",NA,NA,"5.000"
"7375","scaffold0005:3823566|3826146",NA,NA,"7.000"
"7376","scaffold0005:3824785|3826146","8.000",NA,NA
"7377","scaffold0005:3824785|3827081",NA,"6.000",NA
"7378","scaffold0005:3826904|3827244",NA,NA,"2.000"
"7379","scaffold0005:3827194|3827780","1.000","4.000",NA
"7380","scaffold0005:3861650|3863753","4.000",NA,"3.000"
"7381","scaffold0005:3861650|3887788","33.000","5.000","1.000"
"7382","scaffold0005:38654933|38660127",NA,"2.000",NA
"7383","scaffold0005:3869069|3873214","2.000",NA,NA
"7384","scaffold0005:3869069|3887788","9.000",NA,NA
"7385","scaffold0005:38931404|38964244",NA,"12.000",NA
"7386","scaffold0005:38961404|38964244",NA,"4.000",NA
"7387","scaffold0005:39108836|39114430","3.000",NA,NA
"7388","scaffold0005:39108836|39118199","50.000","35.000","5.000"
"7389","scaffold0005:39301743|39302102","7.000","5.000","2.000"
"7390","scaffold0005:39323336|39325447","4.000",NA,NA
"7391","scaffold0005:39325336|39347415",NA,"5.000",NA
"7392","scaffold0005:39346241|39347415","43.000","5.000",NA
"7393","scaffold0005:3949505|3952570","3.000",NA,NA
"7394","scaffold0005:39547517|39550989","2.000",NA,NA
"7395","scaffold0005:39557120|39559285",NA,NA,"4.000"
"7396","scaffold0005:39561954|39563699",NA,"7.000",NA
"7397","scaffold0005:39572851|39576672","8.000",NA,NA
"7398","scaffold0005:39576569|39583172","1.000","5.000","3.000"
"7399","scaffold0005:39576569|39583189","138.000","35.000","21.000"
"7400","scaffold0005:39576569|39588398","7.000",NA,NA
"7401","scaffold0005:39576569|39596328",NA,"3.000",NA
"7402","scaffold0005:39583028|39588398","7.000",NA,NA
"7403","scaffold0005:39600570|39604925",NA,"2.000",NA
"7404","scaffold0005:39600570|39606954","5.000",NA,NA
"7405","scaffold0005:39604870|39610083",NA,NA,"3.000"
"7406","scaffold0005:39604870|39616790",NA,NA,"3.000"
"7407","scaffold0005:39606671|39610083",NA,NA,"1.000"
"7408","scaffold0005:39643756|39648140",NA,NA,"4.000"
"7409","scaffold0005:3965728|3965880","3.000",NA,NA
"7410","scaffold0005:39933616|39936523",NA,NA,"2.000"
"7411","scaffold0005:39933616|39968369",NA,NA,"3.000"
"7412","scaffold0005:39940331|39953613","2.000",NA,NA
"7413","scaffold0005:39968242|39993616","13.000",NA,NA
"7414","scaffold0005:39968242|40020488","48.000",NA,NA
"7415","scaffold0005:39968242|40063600","13.000",NA,NA
"7416","scaffold0005:39968242|40103214","8.000",NA,NA
"7417","scaffold0005:39991809|39993616",NA,"2.000",NA
"7418","scaffold0005:39993550|40020488","1.000",NA,NA
"7419","scaffold0005:40020338|40103214","2.000",NA,NA
"7420","scaffold0005:40063116|40063600",NA,NA,"2.000"
"7421","scaffold0005:40229994|40234405","2.000",NA,NA
"7422","scaffold0005:40295178|40301142","3.000",NA,NA
"7423","scaffold0005:40437687|40445200",NA,"10.000",NA
"7424","scaffold0005:410552|466299",NA,NA,"4.000"
"7425","scaffold0005:4132038|4137304","4.000",NA,NA
"7426","scaffold0005:4137250|4142208","1.000",NA,NA
"7427","scaffold0005:41708503|41710505",NA,"7.000",NA
"7428","scaffold0005:41939330|41939826",NA,NA,"3.000"
"7429","scaffold0005:41941715|41969400","8.000","17.000","14.000"
"7430","scaffold0005:41968939|41969400","210.000","193.000","137.000"
"7431","scaffold0005:41968939|41975241","17.000",NA,"2.000"
"7432","scaffold0005:41968939|41979630",NA,NA,"1.000"
"7433","scaffold0005:41968939|42000280",NA,NA,"2.000"
"7434","scaffold0005:41993332|41997935","1.000",NA,NA
"7435","scaffold0005:42065607|42071933",NA,"4.000",NA
"7436","scaffold0005:42066999|42086849",NA,NA,"6.000"
"7437","scaffold0005:42521961|42522291",NA,NA,"5.000"
"7438","scaffold0005:42886558|42890754","2.000",NA,"1.000"
"7439","scaffold0005:42892138|42894512","3.000",NA,"10.000"
"7440","scaffold0005:43011253|43024639",NA,"5.000","4.000"
"7441","scaffold0005:43197808|43245638","1.000",NA,NA
"7442","scaffold0005:43629488|43629891","1.000",NA,"1.000"
"7443","scaffold0005:43640598|43642678",NA,"10.000",NA
"7444","scaffold0005:43642559|43644590","19.000","24.000","11.000"
"7445","scaffold0005:43642628|43644579",NA,NA,"2.000"
"7446","scaffold0005:43643854|43646724",NA,NA,"2.000"
"7447","scaffold0005:43644473|43645993","11.000",NA,"2.000"
"7448","scaffold0005:43646735|43647175",NA,NA,"2.000"
"7449","scaffold0005:43653643|43655141","1.000",NA,"3.000"
"7450","scaffold0005:43653643|43656449","1.000",NA,NA
"7451","scaffold0005:43654964|43663224","10.000",NA,NA
"7452","scaffold0005:43679988|43688310","2.000",NA,NA
"7453","scaffold0005:43926672|43928843","1.000",NA,NA
"7454","scaffold0005:43931505|43934087","5.000",NA,NA
"7455","scaffold0005:43938713|43945383","3.000",NA,NA
"7456","scaffold0005:43982495|43982688",NA,"4.000",NA
"7457","scaffold0005:44377946|44382819","4.000",NA,NA
"7458","scaffold0005:44487179|44490635","84.000","37.000","56.000"
"7459","scaffold0005:44487179|44502881","26.000",NA,NA
"7460","scaffold0005:44560554|44567978","4.000",NA,NA
"7461","scaffold0005:44773089|44773836",NA,NA,"3.000"
"7462","scaffold0005:4482680|4488684","7.000",NA,NA
"7463","scaffold0005:44840260|44844508","1.000",NA,NA
"7464","scaffold0005:44840260|44853428","10.000",NA,"2.000"
"7465","scaffold0005:44840260|44868048","2.000",NA,NA
"7466","scaffold0005:44853321|44878189",NA,"8.000",NA
"7467","scaffold0005:4488557|4508759",NA,"7.000",NA
"7468","scaffold0005:4488557|4509703","11.000",NA,NA
"7469","scaffold0005:4488557|4521097","1.000",NA,NA
"7470","scaffold0005:4519192|4535325","1.000",NA,NA
"7471","scaffold0005:4521005|4535325","4.000",NA,NA
"7472","scaffold0005:4531287|4535325","4.000",NA,NA
"7473","scaffold0005:4532541|4535325","5.000","12.000",NA
"7474","scaffold0005:4532541|4545991",NA,NA,"1.000"
"7475","scaffold0005:4532541|4549885","1.000",NA,NA
"7476","scaffold0005:45343396|45349016",NA,NA,"2.000"
"7477","scaffold0005:45385413|45409770","3.000",NA,NA
"7478","scaffold0005:45418882|45429163","1.000",NA,NA
"7479","scaffold0005:45429016|45431117","1.000",NA,NA
"7480","scaffold0005:4545789|4549885",NA,NA,"6.000"
"7481","scaffold0005:45469438|45475623","2.000","6.000","2.000"
"7482","scaffold0005:45522628|45525232",NA,NA,"4.000"
"7483","scaffold0005:45522628|45554526","2.000",NA,NA
"7484","scaffold0005:45554372|45554526","19.000",NA,"2.000"
"7485","scaffold0005:45554372|45565245","38.000","14.000","13.000"
"7486","scaffold0005:45554372|45587454","9.000",NA,NA
"7487","scaffold0005:45554372|45604274",NA,NA,"7.000"
"7488","scaffold0005:45587368|45596171","21.000",NA,"3.000"
"7489","scaffold0005:45587368|45604274","6.000","5.000",NA
"7490","scaffold0005:45587368|45651756",NA,"4.000",NA
"7491","scaffold0005:45595694|45604274","10.000",NA,NA
"7492","scaffold0005:45721713|45724169",NA,"8.000",NA
"7493","scaffold0005:45723121|45724169","34.000","3.000","12.000"
"7494","scaffold0005:45723121|45732710","17.000","8.000","3.000"
"7495","scaffold0005:45757865|45772968",NA,"2.000",NA
"7496","scaffold0005:45764463|45780613","47.000","4.000","5.000"
"7497","scaffold0005:45764579|45780613","8.000","2.000","1.000"
"7498","scaffold0005:45767262|45780613",NA,"5.000","6.000"
"7499","scaffold0005:45767262|45785266","10.000",NA,NA
"7500","scaffold0005:45772823|45780613","66.000","64.000","16.000"
"7501","scaffold0005:45772823|45785266","5.000",NA,"10.000"
"7502","scaffold0005:45780485|45785266","3.000",NA,NA
"7503","scaffold0005:45790262|45810583",NA,NA,"2.000"
"7504","scaffold0005:45907167|45924567","1.000",NA,NA
"7505","scaffold0005:45950558|45951576","3.000",NA,NA
"7506","scaffold0005:45950558|45957534","5.000",NA,NA
"7507","scaffold0005:46012337|46015936","6.000",NA,NA
"7508","scaffold0005:46085336|46088106","18.000","9.000","6.000"
"7509","scaffold0005:46091378|46092146",NA,NA,"7.000"
"7510","scaffold0005:4616591|4626070","5.000",NA,NA
"7511","scaffold0005:4616591|4667200","4.000",NA,NA
"7512","scaffold0005:46247544|46251300",NA,"7.000",NA
"7513","scaffold0005:46249219|46263875",NA,NA,"5.000"
"7514","scaffold0005:46263681|46270964",NA,NA,"1.000"
"7515","scaffold0005:46263681|46281619",NA,NA,"6.000"
"7516","scaffold0005:46270189|46270964","14.000",NA,"1.000"
"7517","scaffold0005:46327171|46327807",NA,"2.000",NA
"7518","scaffold0005:46340516|46341359",NA,NA,"6.000"
"7519","scaffold0005:46463749|46485733",NA,NA,"1.000"
"7520","scaffold0005:46549144|46565327","5.000",NA,NA
"7521","scaffold0005:46564423|46565327","8.000",NA,"4.000"
"7522","scaffold0005:46604359|46614460","2.000",NA,NA
"7523","scaffold0005:46604359|46620173","9.000",NA,"1.000"
"7524","scaffold0005:46604359|46635104",NA,NA,"1.000"
"7525","scaffold0005:46619668|46620173","1.000",NA,"3.000"
"7526","scaffold0005:46619970|46627394",NA,NA,"1.000"
"7527","scaffold0005:4667130|4691080","1.000",NA,NA
"7528","scaffold0005:46711719|46720193","5.000",NA,NA
"7529","scaffold0005:46786419|46787832",NA,"1.000",NA
"7530","scaffold0005:46791870|46794888",NA,"2.000",NA
"7531","scaffold0005:46862298|46863331","3.000",NA,NA
"7532","scaffold0005:46876163|46877711","17.000","17.000",NA
"7533","scaffold0005:46876163|46880790","7.000",NA,NA
"7534","scaffold0005:46876163|46882782","3.000",NA,NA
"7535","scaffold0005:46900350|46900986","2.000",NA,NA
"7536","scaffold0005:46911728|46912208","7.000",NA,NA
"7537","scaffold0005:46912881|46915146","2.000","2.000",NA
"7538","scaffold0005:46914743|46915146",NA,NA,"1.000"
"7539","scaffold0005:46914999|46931290",NA,NA,"2.000"
"7540","scaffold0005:46925099|46926552","5.000",NA,NA
"7541","scaffold0005:46926451|46934271","4.000",NA,NA
"7542","scaffold0005:46928504|46934271",NA,NA,"4.000"
"7543","scaffold0005:46930275|46933597",NA,NA,"1.000"
"7544","scaffold0005:46931988|46935499","7.000","16.000","10.000"
"7545","scaffold0005:46932670|46933597","2.000",NA,NA
"7546","scaffold0005:46933495|46935233","4.000",NA,NA
"7547","scaffold0005:46934196|46935233",NA,NA,"2.000"
"7548","scaffold0005:46934612|46935499",NA,"1.000",NA
"7549","scaffold0005:46945284|46947404","9.000",NA,NA
"7550","scaffold0005:46945284|46947407","204.000","169.000","116.000"
"7551","scaffold0005:46945284|46965269","39.000","42.000","43.000"
"7552","scaffold0005:46946591|46947407","4.000",NA,"4.000"
"7553","scaffold0005:46965028|46965269","9.000","22.000","4.000"
"7554","scaffold0005:46965028|46993291",NA,"6.000",NA
"7555","scaffold0005:46965028|47017862","4.000",NA,NA
"7556","scaffold0005:46965028|47021107","4.000",NA,NA
"7557","scaffold0005:46993056|46993291",NA,"11.000","2.000"
"7558","scaffold0005:47057463|47060250","33.000",NA,"21.000"
"7559","scaffold0005:47057463|47063655",NA,"3.000",NA
"7560","scaffold0005:47060019|47063655","2.000",NA,NA
"7561","scaffold0005:47170925|47172309","25.000",NA,"2.000"
"7562","scaffold0005:47180796|47194077","5.000",NA,NA
"7563","scaffold0005:47208347|47209316","2.000",NA,NA
"7564","scaffold0005:47208421|47209316","8.000",NA,NA
"7565","scaffold0005:47222375|47224463","4.000",NA,NA
"7566","scaffold0005:47227019|47227882","2.000",NA,NA
"7567","scaffold0005:47233405|47241017","1.000",NA,NA
"7568","scaffold0005:47399885|47401272",NA,"1.000",NA
"7569","scaffold0005:47460986|47462749",NA,NA,"5.000"
"7570","scaffold0005:47469015|47469526","25.000","24.000","3.000"
"7571","scaffold0005:47477450|47483314","2.000",NA,"1.000"
"7572","scaffold0005:47482706|47483314",NA,"7.000","7.000"
"7573","scaffold0005:47482706|47486315",NA,"2.000","3.000"
"7574","scaffold0005:47498969|47506720",NA,"9.000",NA
"7575","scaffold0005:47500283|47502089",NA,"2.000",NA
"7576","scaffold0005:4750694|4750898",NA,NA,"3.000"
"7577","scaffold0005:4750694|4754156",NA,"4.000",NA
"7578","scaffold0005:4750694|4759735",NA,"7.000","2.000"
"7579","scaffold0005:47555453|47556271","1.000",NA,NA
"7580","scaffold0005:47555453|47558067",NA,"1.000",NA
"7581","scaffold0005:47559284|47561992","3.000",NA,NA
"7582","scaffold0005:47610667|47611091",NA,NA,"5.000"
"7583","scaffold0005:47610667|47611548","3.000",NA,NA
"7584","scaffold0005:47610944|47611365","4.000",NA,NA
"7585","scaffold0005:47611194|47611365","3.000","2.000",NA
"7586","scaffold0005:47611437|47611799","24.000","10.000","4.000"
"7587","scaffold0005:47611437|47612145","1.000",NA,NA
"7588","scaffold0005:47611437|47612997","14.000","10.000","12.000"
"7589","scaffold0005:47611624|47611799","5.000",NA,NA
"7590","scaffold0005:47612848|47612997",NA,"3.000",NA
"7591","scaffold0005:47612848|47614210","26.000",NA,NA
"7592","scaffold0005:47614631|47615025",NA,"4.000",NA
"7593","scaffold0005:47655315|47666196","2.000",NA,"2.000"
"7594","scaffold0005:47667872|47668479","15.000",NA,NA
"7595","scaffold0005:47671217|47671628",NA,"2.000",NA
"7596","scaffold0005:47703848|47706219","1.000","2.000",NA
"7597","scaffold0005:47705891|47710060","5.000",NA,NA
"7598","scaffold0005:47705891|47725518","23.000","41.000","15.000"
"7599","scaffold0005:47705891|47730182","11.000",NA,NA
"7600","scaffold0005:47725445|47730182","12.000","9.000","4.000"
"7601","scaffold0005:47729394|47734448",NA,NA,"6.000"
"7602","scaffold0005:47745353|47748981","4.000",NA,NA
"7603","scaffold0005:47768966|47769294",NA,NA,"1.000"
"7604","scaffold0005:47769758|47770210",NA,NA,"2.000"
"7605","scaffold0005:47770099|47770506",NA,NA,"3.000"
"7606","scaffold0005:47784838|47786457",NA,"9.000","2.000"
"7607","scaffold0005:47784838|47788343","9.000",NA,"2.000"
"7608","scaffold0005:47812811|47813197","2.000",NA,NA
"7609","scaffold0005:47813151|47813567","2.000",NA,NA
"7610","scaffold0005:47828174|47829993",NA,NA,"1.000"
"7611","scaffold0005:47828174|47831975",NA,"5.000",NA
"7612","scaffold0005:47841619|47842046","3.000",NA,NA
"7613","scaffold0005:47846032|47846421","2.000",NA,NA
"7614","scaffold0005:47846497|47847869",NA,"4.000",NA
"7615","scaffold0005:47847948|47848249","2.000","6.000",NA
"7616","scaffold0005:47847948|47849773",NA,"13.000",NA
"7617","scaffold0005:47853028|47856750","4.000",NA,NA
"7618","scaffold0005:47854075|47856750",NA,"3.000","8.000"
"7619","scaffold0005:47856820|47857127","8.000",NA,NA
"7620","scaffold0005:47856820|47857499","4.000",NA,"2.000"
"7621","scaffold0005:47858315|47860581","1.000",NA,NA
"7622","scaffold0005:47875215|47875978","9.000",NA,NA
"7623","scaffold0005:47875215|47881302","20.000","10.000","3.000"
"7624","scaffold0005:4791626|4797376",NA,"2.000",NA
"7625","scaffold0005:47954442|47958852","5.000",NA,NA
"7626","scaffold0005:47954442|47966776","3.000",NA,NA
"7627","scaffold0005:4802088|4804914",NA,NA,"1.000"
"7628","scaffold0005:48048085|48048983","13.000",NA,NA
"7629","scaffold0005:48062594|48065160",NA,NA,"4.000"
"7630","scaffold0005:48065097|48065413","29.000","40.000","48.000"
"7631","scaffold0005:48065487|48066123","2.000",NA,NA
"7632","scaffold0005:48089753|48090092","3.000",NA,NA
"7633","scaffold0005:48093966|48104093","5.000",NA,NA
"7634","scaffold0005:48115876|48116432","5.000",NA,NA
"7635","scaffold0005:48125708|48134386",NA,"7.000",NA
"7636","scaffold0005:48125708|48140789",NA,"1.000",NA
"7637","scaffold0005:48134337|48139985",NA,"5.000",NA
"7638","scaffold0005:48134337|48140789",NA,"9.000",NA
"7639","scaffold0005:48139457|48140785","3.000",NA,NA
"7640","scaffold0005:48139457|48140789","231.000","68.000","158.000"
"7641","scaffold0005:4826127|4828737","3.000",NA,NA
"7642","scaffold0005:48276157|48276521",NA,"9.000",NA
"7643","scaffold0005:48278531|48281863",NA,"4.000",NA
"7644","scaffold0005:48281007|48281863","12.000",NA,"5.000"
"7645","scaffold0005:48298379|48299376",NA,"3.000","4.000"
"7646","scaffold0005:48308584|48310913",NA,NA,"7.000"
"7647","scaffold0005:48308918|48312296","11.000",NA,NA
"7648","scaffold0005:48308918|48318668",NA,"3.000",NA
"7649","scaffold0005:48318303|48319144","5.000",NA,NA
"7650","scaffold0005:48318303|48321354","3.000",NA,"5.000"
"7651","scaffold0005:48318303|48328377",NA,NA,"1.000"
"7652","scaffold0005:48320999|48321354",NA,NA,"6.000"
"7653","scaffold0005:48321251|48324050",NA,NA,"2.000"
"7654","scaffold0005:48322842|48328377","3.000","4.000",NA
"7655","scaffold0005:48325221|48343864","2.000",NA,NA
"7656","scaffold0005:48325221|48347399",NA,"2.000",NA
"7657","scaffold0005:48523335|48523666",NA,NA,"5.000"
"7658","scaffold0005:48601566|48604193",NA,"5.000",NA
"7659","scaffold0005:48629253|48633873","4.000",NA,NA
"7660","scaffold0005:48632031|48633873","3.000",NA,NA
"7661","scaffold0005:48633426|48633873","14.000","68.000","25.000"
"7662","scaffold0005:48642931|48643166","25.000","5.000","9.000"
"7663","scaffold0005:48643233|48643476",NA,"3.000",NA
"7664","scaffold0005:48643233|48644128",NA,NA,"2.000"
"7665","scaffold0005:48660702|48668480","5.000","4.000",NA
"7666","scaffold0005:4866322|4866651","1088.000","590.000","576.000"
"7667","scaffold0005:4866322|4893698","12.000",NA,"4.000"
"7668","scaffold0005:4866322|4913968","3.000",NA,NA
"7669","scaffold0005:4866322|4917111",NA,"7.000",NA
"7670","scaffold0005:48710991|48711130",NA,NA,"4.000"
"7671","scaffold0005:48711992|48712807","3.000","2.000",NA
"7672","scaffold0005:48714759|48715230","7.000",NA,NA
"7673","scaffold0005:48737055|48737307","2.000",NA,NA
"7674","scaffold0005:48744302|48744845","13.000",NA,"19.000"
"7675","scaffold0005:48781736|48786307",NA,"3.000",NA
"7676","scaffold0005:48871769|48872568","1.000",NA,NA
"7677","scaffold0005:48871769|48874745","1.000",NA,"1.000"
"7678","scaffold0005:48871769|48877246",NA,NA,"1.000"
"7679","scaffold0005:48871769|48877274","2.000","2.000",NA
"7680","scaffold0005:48871769|48889400","3.000",NA,"1.000"
"7681","scaffold0005:48886451|48889839","1.000","9.000",NA
"7682","scaffold0005:48889344|48889839",NA,NA,"15.000"
"7683","scaffold0005:48903133|48907372","1.000",NA,NA
"7684","scaffold0005:48905418|48907870","4.000",NA,"6.000"
"7685","scaffold0005:4893535|4907393","8.000",NA,NA
"7686","scaffold0005:4893619|4897863",NA,"5.000",NA
"7687","scaffold0005:4893619|4959517","2.000",NA,NA
"7688","scaffold0005:48994423|48996250","14.000",NA,NA
"7689","scaffold0005:48996954|48998109","14.000","5.000",NA
"7690","scaffold0005:49058542|49061527",NA,NA,"5.000"
"7691","scaffold0005:49058542|49070342","4.000",NA,NA
"7692","scaffold0005:4907235|4917111",NA,NA,"1.000"
"7693","scaffold0005:49201167|49205460","19.000",NA,NA
"7694","scaffold0005:49207037|49211051","1.000",NA,NA
"7695","scaffold0005:49269901|49274734",NA,NA,"4.000"
"7696","scaffold0005:49271396|49274734","1.000",NA,NA
"7697","scaffold0005:49275811|49277028","69.000",NA,"25.000"
"7698","scaffold0005:49293135|49297729","1.000",NA,NA
"7699","scaffold0005:49470095|49470328",NA,NA,"3.000"
"7700","scaffold0005:49470641|49472228",NA,"3.000",NA
"7701","scaffold0005:49510644|49511553",NA,NA,"2.000"
"7702","scaffold0005:49536610|49537095","11.000",NA,"11.000"
"7703","scaffold0005:49558859|49559428","6.000",NA,NA
"7704","scaffold0005:49568343|49575256",NA,NA,"9.000"
"7705","scaffold0005:49568343|49577330","3.000",NA,NA
"7706","scaffold0005:49571416|49575256",NA,"1.000",NA
"7707","scaffold0005:4958570|4959517","3.000",NA,NA
"7708","scaffold0005:4958581|4959517","9.000",NA,"35.000"
"7709","scaffold0005:4958581|4960919","6.000",NA,NA
"7710","scaffold0005:4958581|4961020",NA,NA,"7.000"
"7711","scaffold0005:49695513|49696045","23.000",NA,NA
"7712","scaffold0005:49721350|49726628",NA,"3.000",NA
"7713","scaffold0005:49724909|49726628","2.000","11.000","3.000"
"7714","scaffold0005:49735601|49737973",NA,NA,"3.000"
"7715","scaffold0005:49800580|49804471",NA,NA,"6.000"
"7716","scaffold0005:49801761|49802275","5.000",NA,NA
"7717","scaffold0005:4981274|4989952",NA,NA,"5.000"
"7718","scaffold0005:49813523|49818343","1.000",NA,NA
"7719","scaffold0005:49863157|49863379","2.000",NA,NA
"7720","scaffold0005:49871848|49873859",NA,NA,"3.000"
"7721","scaffold0005:49873387|49873859","15.000","62.000","16.000"
"7722","scaffold0005:49891011|49897374","1.000",NA,"8.000"
"7723","scaffold0005:49960063|49961447","17.000",NA,NA
"7724","scaffold0005:49960394|49961447","4.000",NA,NA
"7725","scaffold0005:49961343|49967526","29.000","5.000",NA
"7726","scaffold0005:50022543|50022734",NA,"6.000",NA
"7727","scaffold0005:50033462|50034088","1.000","18.000","2.000"
"7728","scaffold0005:50112242|50114140","1.000",NA,NA
"7729","scaffold0005:50125721|50125994",NA,"7.000",NA
"7730","scaffold0005:50127261|50127656","1.000",NA,NA
"7731","scaffold0005:50127261|50129172",NA,NA,"1.000"
"7732","scaffold0005:50127319|50130791",NA,NA,"3.000"
"7733","scaffold0005:50130618|50130764","125.000",NA,NA
"7734","scaffold0005:50130694|50132023","2.000",NA,NA
"7735","scaffold0005:50131338|50132095",NA,NA,"3.000"
"7736","scaffold0005:50134287|50134502",NA,NA,"1.000"
"7737","scaffold0005:50148423|50155789","19.000","11.000",NA
"7738","scaffold0005:50155704|50157492","145.000","68.000","42.000"
"7739","scaffold0005:50155704|50163354","2.000",NA,"2.000"
"7740","scaffold0005:50160507|50166374","4.000",NA,NA
"7741","scaffold0005:50204252|50209899","5.000",NA,NA
"7742","scaffold0005:50208797|50209899","4.000",NA,NA
"7743","scaffold0005:50287316|50288507",NA,"9.000",NA
"7744","scaffold0005:50319564|50319937","10.000",NA,NA
"7745","scaffold0005:50349808|50350072","2.000",NA,NA
"7746","scaffold0005:50362903|50366139","5.000","18.000","12.000"
"7747","scaffold0005:50374147|50375152",NA,"1.000",NA
"7748","scaffold0005:50377165|50377684",NA,"1.000",NA
"7749","scaffold0005:50425744|50428761","5.000",NA,NA
"7750","scaffold0005:50434763|50437777",NA,NA,"3.000"
"7751","scaffold0005:50437547|50443010","6.000",NA,NA
"7752","scaffold0005:50441260|50443010","3.000","2.000",NA
"7753","scaffold0005:50451108|50451996","4.000",NA,"3.000"
"7754","scaffold0005:50457987|50459344","1.000",NA,NA
"7755","scaffold0005:50459215|50461078","6.000",NA,NA
"7756","scaffold0005:50493052|50493969","5.000",NA,NA
"7757","scaffold0005:50531045|50532501","8.000","15.000","9.000"
"7758","scaffold0005:50535791|50537630","1.000",NA,NA
"7759","scaffold0005:50610804|50614297","6.000",NA,NA
"7760","scaffold0005:50610804|50619772","2.000","2.000","7.000"
"7761","scaffold0005:50630671|50631048","1.000",NA,NA
"7762","scaffold0005:50630671|50631299","5.000","3.000",NA
"7763","scaffold0005:50632310|50645892",NA,NA,"3.000"
"7764","scaffold0005:50651080|50651506","1.000",NA,NA
"7765","scaffold0005:50651080|50662655",NA,NA,"6.000"
"7766","scaffold0005:50658621|50664932","3.000",NA,NA
"7767","scaffold0005:50742530|50750049","1.000",NA,NA
"7768","scaffold0005:50745940|50750049","3.000",NA,NA
"7769","scaffold0005:50752461|50752899","9.000",NA,"2.000"
"7770","scaffold0005:50752461|50755221","13.000",NA,"2.000"
"7771","scaffold0005:50755139|50755680","21.000","16.000","9.000"
"7772","scaffold0005:50770075|50771554","8.000",NA,NA
"7773","scaffold0005:50781840|50788710","82.000","18.000","23.000"
"7774","scaffold0005:50781840|50797012","8.000",NA,NA
"7775","scaffold0005:50781840|50797854","1.000",NA,NA
"7776","scaffold0005:50781840|50800875","3.000",NA,NA
"7777","scaffold0005:50785708|50788710",NA,NA,"4.000"
"7778","scaffold0005:50796748|50797012","25.000","42.000","32.000"
"7779","scaffold0005:50800659|50813948","2.000",NA,NA
"7780","scaffold0005:50817652|50818041",NA,NA,"1.000"
"7781","scaffold0005:50869154|50894261",NA,NA,"2.000"
"7782","scaffold0005:50877538|50887399","13.000","1.000","1.000"
"7783","scaffold0005:50877538|50897226",NA,NA,"1.000"
"7784","scaffold0005:50884843|50897226",NA,NA,"2.000"
"7785","scaffold0005:50892886|50894261","5.000",NA,"2.000"
"7786","scaffold0005:50892886|50897226","7.000","9.000","3.000"
"7787","scaffold0005:50920821|50930132",NA,"5.000","4.000"
"7788","scaffold0005:50949556|50949753","3.000",NA,"3.000"
"7789","scaffold0005:50957147|50958006","3.000",NA,NA
"7790","scaffold0005:50965488|50973573",NA,NA,"3.000"
"7791","scaffold0005:50977342|50978311","2.000",NA,NA
"7792","scaffold0005:51044976|51045155",NA,NA,"3.000"
"7793","scaffold0005:51057729|51063885",NA,"15.000",NA
"7794","scaffold0005:51085006|51094486","8.000","2.000",NA
"7795","scaffold0005:51277071|51277872","4.000",NA,NA
"7796","scaffold0005:51277759|51280524",NA,NA,"4.000"
"7797","scaffold0005:51280393|51281584","4.000",NA,NA
"7798","scaffold0005:51280393|51284152","2.000","6.000",NA
"7799","scaffold0005:51280393|51286358","1.000",NA,"3.000"
"7800","scaffold0005:51289485|51291109","4.000","1.000","6.000"
"7801","scaffold0005:51289485|51295360",NA,"13.000",NA
"7802","scaffold0005:51289485|51300172","6.000",NA,NA
"7803","scaffold0005:51289485|51303563","2.000",NA,NA
"7804","scaffold0005:51290978|51292050","3.000","32.000","2.000"
"7805","scaffold0005:51290978|51295360","11.000","8.000","4.000"
"7806","scaffold0005:51325607|51325960","1555.000","1258.000","966.000"
"7807","scaffold0005:51325607|51325964","24.000","8.000","48.000"
"7808","scaffold0005:51325607|51332259","4.000",NA,NA
"7809","scaffold0005:51325756|51325960","6.000",NA,NA
"7810","scaffold0005:51336097|51342010","4.000",NA,NA
"7811","scaffold0005:51340207|51344715",NA,NA,"1.000"
"7812","scaffold0005:51344596|51345124",NA,NA,"1.000"
"7813","scaffold0005:51344596|51345593",NA,NA,"1.000"
"7814","scaffold0005:51363660|51364456",NA,NA,"5.000"
"7815","scaffold0005:51366877|51367098","113.000","54.000","76.000"
"7816","scaffold0005:51368539|51369224","176.000","48.000","16.000"
"7817","scaffold0005:51368539|51370047","3.000",NA,NA
"7818","scaffold0005:51368539|51375242",NA,NA,"3.000"
"7819","scaffold0005:51429956|51430145","1.000",NA,NA
"7820","scaffold0005:51431268|51432098",NA,NA,"4.000"
