"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100323660|100333636",2,NA,8
"2160","scaffold0002:80375117|80380320",5,NA,3
"2161","scaffold0002:80375117|80385664",1,NA,NA
"2162","scaffold0002:80709189|80709387",14,NA,NA
"2163","scaffold0002:80709189|80784919",69,19,11
"2164","scaffold0002:807353|807621",42,7,46
"2165","scaffold0002:80898145|80915135",1,NA,NA
"2166","scaffold0002:81040745|81041659",2,NA,2
"2167","scaffold0002:8125020|8145532",3,6,3
"2168","scaffold0002:81614229|81626293",3,NA,NA
"2169","scaffold0002:81761302|81761498",NA,4,NA
"2170","scaffold0002:82444326|82455895",NA,NA,2
"2171","scaffold0002:82454069|82455895",128,170,227
"2172","scaffold0002:82454069|82460930",202,111,105
"2173","scaffold0002:82454069|82467295",9,NA,8
"2174","scaffold0002:82454069|82470640",NA,7,NA
"2175","scaffold0002:82458668|82467295",6,NA,NA
"2176","scaffold0002:82465854|82466093",1,NA,NA
"2177","scaffold0002:82469696|82475799",2,6,NA
"2178","scaffold0002:82471880|82474022",NA,NA,3
"2179","scaffold0002:82478816|82481486",7,6,6
"2180","scaffold0002:82608563|82619640",NA,NA,10
"2181","scaffold0002:828252|831671",40,17,10
"2182","scaffold0002:828252|844168",9,NA,NA
"2183","scaffold0002:84999522|85017344",NA,7,NA
"2184","scaffold0002:85017151|85033393",1,NA,NA
"2185","scaffold0002:85043382|85069491",13,NA,1
"2186","scaffold0002:85054800|85069491",3,NA,NA
"2187","scaffold0002:85166084|85167969",9,NA,NA
"2188","scaffold0002:85178929|85190680",3,NA,NA
"2189","scaffold0002:85181127|85190680",1,NA,NA
"2190","scaffold0002:85198835|85200541",NA,NA,1
"2191","scaffold0002:85201848|85202400",31,NA,6
"2192","scaffold0002:85299504|85308401",251,130,221
"2193","scaffold0002:85299504|85314610",5,NA,NA
"2194","scaffold0002:85299504|85317354",9,NA,NA
"2195","scaffold0002:85304082|85308401",11,3,NA
"2196","scaffold0002:85308257|85314610",114,7,32
"2197","scaffold0002:85342462|85393955",2,NA,NA
"2198","scaffold0002:85366050|85393955",4,NA,4
"2199","scaffold0002:86695520|86698763",5,NA,NA
"2200","scaffold0002:86706845|86707679",9,NA,2
"2201","scaffold0002:86708724|86710369",NA,7,NA
"2202","scaffold0002:86746133|86750775",NA,NA,7
"2203","scaffold0002:86762992|86764492",4,NA,NA
"2204","scaffold0002:88222107|88248447",NA,1,NA
"2205","scaffold0002:9093256|9094074",1,NA,NA
"2206","scaffold0002:910597|911808",NA,6,NA
"2207","scaffold0002:9121501|9122435",8,NA,7
"2208","scaffold0002:9153802|9156013",NA,NA,3
"2209","scaffold0002:9157308|9157811",NA,5,NA
"2210","scaffold0002:9162064|9163195",NA,NA,2
"2211","scaffold0002:9163064|9171741",3,NA,NA
"2212","scaffold0002:9163499|9165901",NA,NA,4
"2213","scaffold0002:9169804|9171741",147,31,74
"2214","scaffold0002:9169804|9175990",NA,5,NA
"2215","scaffold0002:9175122|9177870",2,NA,NA
"2216","scaffold0002:9390730|9391006",184,170,123
"2217","scaffold0002:94875236|94881449",9,2,1
"2218","scaffold0002:94876494|94881449",20,15,3
"2219","scaffold0002:94892304|94895253",40,NA,NA
"2220","scaffold0002:94922622|94928957",6,NA,NA
"2221","scaffold0002:94938663|94945461",NA,4,1
"2222","scaffold0002:94938663|94957895",20,12,5
"2223","scaffold0002:94939441|94945461",NA,14,2
"2224","scaffold0002:94939441|94957895",67,18,14
"2225","scaffold0002:95163997|95164824",36,32,3
"2226","scaffold0002:95281680|95296953",7,NA,NA
"2227","scaffold0002:95317060|95327603",5,NA,NA
"2228","scaffold0002:95391071|95399617",87,59,30
"2229","scaffold0002:95456671|95464232",3,NA,NA
"2230","scaffold0002:95464102|95475244",5,NA,NA
"2231","scaffold0002:95468829|95475244",30,NA,NA
"2232","scaffold0002:95470229|95475244",NA,11,NA
"2233","scaffold0002:95531036|95539739",NA,3,NA
"2234","scaffold0002:95544906|95547738",2,NA,NA
"2235","scaffold0002:95544906|95549880",1,NA,3
"2236","scaffold0002:95544906|95550798",71,17,22
"2237","scaffold0002:95643366|95651109",NA,1,NA
"2238","scaffold0002:95644783|95651109",NA,1,NA
"2239","scaffold0002:95706632|95717308",NA,12,NA
"2240","scaffold0002:960265|961148",NA,10,NA
"2241","scaffold0002:961148|962858",NA,5,NA
"2242","scaffold0002:96166326|96167967",1,NA,NA
"2243","scaffold0002:96653708|96734509",47,21,16
"2244","scaffold0002:96653708|96758737",6,3,1
"2245","scaffold0002:96656969|96734509",252,107,83
"2246","scaffold0002:96656969|96758737",45,19,14
"2247","scaffold0002:96780334|96785392",6,NA,NA
"2248","scaffold0002:97591209|97593280",54,16,8
"2249","scaffold0002:97623277|97643643",24,9,NA
"2250","scaffold0002:97628327|97643643",3,NA,7
"2251","scaffold0002:97632704|97643643",NA,8,3
"2252","scaffold0002:97639425|97643643",4,7,NA
"2253","scaffold0002:98163997|98166176",1,NA,NA
"2254","scaffold0002:98163997|98172120",NA,NA,2
"2255","scaffold0002:98168462|98172120",200,96,70
"2256","scaffold0002:98188479|98190105",1,NA,NA
"2257","scaffold0002:98270867|98272364",NA,8,7
"2258","scaffold0002:98274486|98275270",8,NA,NA
"2259","scaffold0002:983311|986358",2,NA,NA
"2260","scaffold0002:98356943|98358127",NA,2,NA
"2261","scaffold0002:98359360|98360908",19,6,7
"2262","scaffold0002:98395877|98400579",4,NA,1
"2263","scaffold0002:98417021|98420390",7,NA,NA
"2264","scaffold0002:98451707|98459466",18,NA,4
"2265","scaffold0002:98459345|98460890",323,383,206
"2266","scaffold0002:98459345|98485160",NA,NA,9
"2267","scaffold0002:98459345|98489389",28,22,22
"2268","scaffold0002:98459345|98561749",19,NA,26
"2269","scaffold0002:98459345|98622908",NA,NA,1
"2270","scaffold0002:98460688|98501719",NA,NA,5
"2271","scaffold0002:98485100|98489389",NA,5,3
"2272","scaffold0002:98485100|98501719",49,19,31
"2273","scaffold0002:98561574|98599776",4,2,NA
"2274","scaffold0002:98561574|98622908",NA,NA,4
"2275","scaffold0002:98595210|98599776",11,5,6
"2276","scaffold0002:98616797|98622908",86,28,42
"2277","scaffold0002:99084095|99119248",4,NA,NA
"2278","scaffold0002:99087231|99119248",2,NA,NA
"2279","scaffold0002:99099484|99102596",7,3,NA
"2280","scaffold0002:99099484|99119248",3,16,3
"2281","scaffold0002:99099484|99159646",5,NA,NA
"2282","scaffold0002:99135663|99143669",NA,NA,3
"2283","scaffold0002:99203948|99206702",1,NA,NA
"2284","scaffold0002:99526371|99531012",NA,NA,6
"2285","scaffold0002:99543120|99551884",NA,NA,2
"2286","scaffold0002:99546679|99553061",23,6,NA
"2287","scaffold0002:99551714|99553061",NA,NA,2
"2288","scaffold0002:99558121|99576728",97,NA,20
"2289","scaffold0002:99563665|99576728",178,62,108
"2290","scaffold0002:99642942|99650338",NA,NA,6
"2291","scaffold0002:99645387|99659509",2,NA,3
"2292","scaffold0002:99656627|99659509",NA,NA,2
"2293","scaffold0002:99853357|99859173",154,106,2
"2294","scaffold0003:100051074|100059732",NA,5,NA
"2295","scaffold0003:100059353|100059732",2,NA,NA
"2296","scaffold0003:100059353|100064535",NA,NA,1
"2297","scaffold0003:100073753|100078511",1,NA,NA
"2298","scaffold0003:100076412|100078511",4,NA,NA
"2299","scaffold0003:100626218|100656805",8,NA,1
"2300","scaffold0003:100626218|100676886",5,NA,7
"2301","scaffold0003:100656613|100676886",95,127,66
"2302","scaffold0003:100656613|100693485",6,9,NA
"2303","scaffold0003:100656613|100699836",19,51,15
"2304","scaffold0003:100656613|100708736",14,5,11
"2305","scaffold0003:100676781|100693485",15,12,NA
"2306","scaffold0003:100676781|100699836",30,25,7
"2307","scaffold0003:100693328|100699836",10,8,2
"2308","scaffold0003:100693328|100708736",58,NA,NA
"2309","scaffold0003:100699582|100699836",NA,NA,2
"2310","scaffold0003:101427092|101432601",2,NA,NA
"2311","scaffold0003:101509168|101516866",2,NA,4
"2312","scaffold0003:101509168|101520021",1,NA,NA
"2313","scaffold0003:101513257|101520021",4,NA,3
"2314","scaffold0003:101516566|101526064",5,NA,NA
"2315","scaffold0003:101518654|101520021",2,NA,NA
"2316","scaffold0003:101521098|101522533",93,36,48
"2317","scaffold0003:101521220|101521996",6,NA,NA
"2318","scaffold0003:101552570|101554370",24,21,20
"2319","scaffold0003:101552570|101557544",15,NA,4
"2320","scaffold0003:101562074|101568707",NA,NA,2
"2321","scaffold0003:101562074|101575059",2,NA,NA
"2322","scaffold0003:101564349|101566360",2,NA,NA
"2323","scaffold0003:101574155|101580727",5,NA,NA
"2324","scaffold0003:101574974|101578225",2,NA,NA
"2325","scaffold0003:101577667|101578225",NA,NA,2
"2326","scaffold0003:101589532|101590370",NA,5,NA
"2327","scaffold0003:101647333|101655547",13,37,28
"2328","scaffold0003:101651460|101655547",7,NA,6
"2329","scaffold0003:101694275|101695637",NA,NA,1
"2330","scaffold0003:101700005|101701203",3,34,30
"2331","scaffold0003:101700005|101718456",6,NA,NA
"2332","scaffold0003:101717450|101718456",NA,6,NA
"2333","scaffold0003:101850098|101852914",12,6,1
"2334","scaffold0003:101850098|101863865",2,NA,NA
"2335","scaffold0003:101858640|101863865",1,12,NA
"2336","scaffold0003:101858640|101880318",10,34,1
"2337","scaffold0003:101863729|101868126",2,NA,NA
"2338","scaffold0003:101863729|101880318",10,25,NA
"2339","scaffold0003:101880025|101880318",182,73,57
"2340","scaffold0003:101996914|101999622",NA,NA,1
"2341","scaffold0003:101996914|102000885",NA,NA,3
"2342","scaffold0003:101996914|102002106",8,12,NA
"2343","scaffold0003:101996914|102015996",NA,NA,8
"2344","scaffold0003:102006218|102006850",55,13,16
"2345","scaffold0003:102008408|102009168",156,73,140
"2346","scaffold0003:102011054|102011450",1,NA,NA
"2347","scaffold0003:102013608|102015996",3,NA,NA
"2348","scaffold0003:102254639|102256479",6,21,NA
"2349","scaffold0003:102254639|102263102",2,10,NA
"2350","scaffold0003:102261247|102284294",1,NA,2
"2351","scaffold0003:102272622|102275765",44,70,5
"2352","scaffold0003:102272622|102278857",2,NA,NA
"2353","scaffold0003:102272622|102284294",NA,8,NA
"2354","scaffold0003:102275678|102278857",NA,NA,10
"2355","scaffold0003:102284190|102298656",1,NA,NA
"2356","scaffold0003:102298547|102302313",NA,8,NA
"2357","scaffold0003:10273449|10278607",NA,NA,2
"2358","scaffold0003:10281104|10290120",9,NA,5
"2359","scaffold0003:10285281|10290120",45,24,14
"2360","scaffold0003:103112289|103115354",1,NA,NA
"2361","scaffold0003:103263531|103264260",NA,32,NA
"2362","scaffold0003:103264337|103264502",NA,1,NA
"2363","scaffold0003:103264502|103264704",6,NA,NA
"2364","scaffold0003:103278046|103279157",NA,NA,4
"2365","scaffold0003:103316341|103316649",8,NA,NA
"2366","scaffold0003:103320781|103321373",NA,7,NA
"2367","scaffold0003:103328689|103333481",4,NA,NA
"2368","scaffold0003:103334409|103337449",13,3,3
"2369","scaffold0003:10374870|10377835",2,NA,NA
"2370","scaffold0003:106194|109992",NA,NA,4
"2371","scaffold0003:106194|132800",1,NA,NA
"2372","scaffold0003:107359|132800",NA,NA,14
"2373","scaffold0003:10837714|10840374",NA,8,15
"2374","scaffold0003:10837714|10846394",9,12,34
"2375","scaffold0003:10840263|10846394",1,NA,NA
"2376","scaffold0003:10844951|10846394",11,NA,1
"2377","scaffold0003:10844951|10865405",NA,NA,1
"2378","scaffold0003:10844951|10870020",8,NA,NA
"2379","scaffold0003:10862380|10865405",NA,NA,5
"2380","scaffold0003:10862380|10870020",28,51,17
"2381","scaffold0003:11050791|11053582",NA,6,NA
"2382","scaffold0003:11413864|11475177",NA,4,NA
"2383","scaffold0003:11422145|11427658",1,NA,1
"2384","scaffold0003:11422145|11442152",1,NA,NA
"2385","scaffold0003:11426238|11442152",2,NA,NA
"2386","scaffold0003:11434597|11449037",4,NA,NA
"2387","scaffold0003:11434597|11475177",NA,NA,15
"2388","scaffold0003:11442065|11475177",17,NA,NA
"2389","scaffold0003:11448874|11458138",11,8,17
"2390","scaffold0003:11448874|11475177",329,146,126
"2391","scaffold0003:11458014|11475177",72,22,58
"2392","scaffold0003:11465441|11475177",8,30,NA
"2393","scaffold0003:11470978|11475177",1065,565,485
"2394","scaffold0003:12289799|12312184",14,NA,NA
"2395","scaffold0003:12289799|12318485",205,110,48
"2396","scaffold0003:12311976|12318485",7,NA,NA
"2397","scaffold0003:1235994|1242727",NA,13,NA
"2398","scaffold0003:1378819|1385269",2,6,2
"2399","scaffold0003:1378819|1392696",17,NA,NA
"2400","scaffold0003:1378819|1396740",8,NA,NA
"2401","scaffold0003:1383861|1396740",NA,2,NA
"2402","scaffold0003:1389546|1396740",71,47,17
"2403","scaffold0003:1392379|1396740",5,6,1
"2404","scaffold0003:1396155|1409947",9,NA,5
"2405","scaffold0003:1406476|1407233",4,NA,NA
"2406","scaffold0003:1406476|1409947",38,2,NA
"2407","scaffold0003:1422468|1425758",5,NA,NA
"2408","scaffold0003:1455798|1458576",NA,6,NA
"2409","scaffold0003:15004391|15007325",4,NA,NA
"2410","scaffold0003:15065823|15086151",1,NA,NA
"2411","scaffold0003:15116764|15129709",NA,1,NA
"2412","scaffold0003:15123815|15124097",NA,NA,5
"2413","scaffold0003:1556143|1561018",6,NA,NA
"2414","scaffold0003:1560596|1561018",21,10,3
"2415","scaffold0003:1574293|1581819",5,1,NA
"2416","scaffold0003:1577787|1587599",NA,NA,3
"2417","scaffold0003:1577787|1591494",9,NA,1
"2418","scaffold0003:1587483|1591494",14,NA,NA
"2419","scaffold0003:1590456|1591494",NA,NA,3
"2420","scaffold0003:1590456|1614405",2,NA,NA
"2421","scaffold0003:16097281|16105341",22,NA,1
"2422","scaffold0003:16157955|16160375",4,NA,NA
"2423","scaffold0003:1616505|1631827",15,NA,3
"2424","scaffold0003:16198063|16200774",418,99,38
"2425","scaffold0003:16198063|16224745",NA,1,NA
"2426","scaffold0003:1629079|1631827",6,NA,2
"2427","scaffold0003:1630101|1631827",5,1,2
"2428","scaffold0003:1635197|1636609",1,NA,NA
"2429","scaffold0003:16427146|16427473",4,4,NA
"2430","scaffold0003:1651003|1652313",6,NA,NA
"2431","scaffold0003:1760605|1766647",NA,8,NA
"2432","scaffold0003:178945|183831",2,NA,NA
"2433","scaffold0003:178945|185949",1,NA,2
"2434","scaffold0003:178945|208400",2,NA,NA
"2435","scaffold0003:1825191|1834818",70,42,8
"2436","scaffold0003:1825191|1856094",52,19,3
"2437","scaffold0003:1825191|1861474",3,NA,NA
"2438","scaffold0003:1825191|1874637",1,NA,NA
"2439","scaffold0003:1834615|1856094",NA,4,NA
"2440","scaffold0003:1853117|1856094",1,NA,5
"2441","scaffold0003:1861137|1861474",11,NA,5
"2442","scaffold0003:18785754|18802853",NA,NA,1
"2443","scaffold0003:18790057|18800186",1,NA,NA
"2444","scaffold0003:18792635|18800186",5,NA,NA
"2445","scaffold0003:18795437|18802853",NA,5,NA
"2446","scaffold0003:1914237|1935623",NA,1,NA
"2447","scaffold0003:1934368|1935623",154,112,13
"2448","scaffold0003:201559|208400",25,1,10
"2449","scaffold0003:2119192|2119356",NA,NA,2
"2450","scaffold0003:2128452|2134025",NA,NA,4
"2451","scaffold0003:22541751|22640012",8,NA,NA
"2452","scaffold0003:22618694|22659411",5,NA,NA
"2453","scaffold0003:24337884|24353919",18,NA,3
"2454","scaffold0003:24337884|24383281",3,NA,2
"2455","scaffold0003:24379113|24383281",10,10,4
"2456","scaffold0003:24382129|24383281",18,4,22
"2457","scaffold0003:25313512|25384938",2,NA,NA
"2458","scaffold0003:25516581|25517775",NA,13,1
"2459","scaffold0003:2557183|2586465",5,7,11
"2460","scaffold0003:2557183|2591481",5,8,7
"2461","scaffold0003:26330228|26336626",157,181,68
"2462","scaffold0003:26330228|26362088",3,NA,NA
"2463","scaffold0003:26336376|26362088",4,NA,NA
"2464","scaffold0003:26369403|26369629",3,NA,1
"2465","scaffold0003:26414351|26416908",2,NA,1
"2466","scaffold0003:2654982|2678115",31,30,NA
"2467","scaffold0003:2673771|2678115",31,47,31
"2468","scaffold0003:2928600|2956480",7,NA,NA
"2469","scaffold0003:29320765|29333159",2,NA,NA
"2470","scaffold0003:29359722|29367073",4,NA,5
"2471","scaffold0003:29378837|29407850",3,NA,NA
"2472","scaffold0003:29384783|29388197",73,NA,18
"2473","scaffold0003:29384783|29407850",127,45,8
"2474","scaffold0003:29388070|29404976",1,NA,NA
"2475","scaffold0003:29423451|29436196",1,NA,NA
"2476","scaffold0003:2956277|2956480",NA,4,NA
"2477","scaffold0003:29592680|29593789",457,285,346
"2478","scaffold0003:29592680|29600075",NA,1,NA
"2479","scaffold0003:29644883|29647341",2,NA,NA
"2480","scaffold0003:29687111|29702278",3,NA,NA
"2481","scaffold0003:29687111|29707524",15,16,NA
"2482","scaffold0003:29729774|29729972",1,NA,NA
"2483","scaffold0003:29729774|29738802",4,17,13
"2484","scaffold0003:29729774|29753963",2,NA,3
"2485","scaffold0003:29738607|29738802",8,6,NA
"2486","scaffold0003:29738607|29753963",1,NA,NA
"2487","scaffold0003:29753844|29759915",NA,NA,5
"2488","scaffold0003:30222107|30226439",1,NA,NA
"2489","scaffold0003:30260212|30293554",5,NA,NA
"2490","scaffold0003:30293392|30295354",2,NA,NA
"2491","scaffold0003:30311919|30319458",NA,NA,1
"2492","scaffold0003:30586363|30586537",4,NA,NA
"2493","scaffold0003:30586363|30590977",2,NA,NA
"2494","scaffold0003:30589146|30590977",16,NA,2
"2495","scaffold0003:30642469|30645110",1,NA,NA
"2496","scaffold0003:30642469|30651605",16,NA,9
"2497","scaffold0003:30657792|30659176",NA,NA,1
"2498","scaffold0003:30667976|30670645",9,2,15
"2499","scaffold0003:30669111|30670645",5,NA,NA
"2500","scaffold0003:3170117|3170421",110,61,116
"2501","scaffold0003:31864256|31890133",8,NA,9
"2502","scaffold0003:32394694|32394983",NA,NA,6
"2503","scaffold0003:32418881|32423130",2,3,NA
"2504","scaffold0003:35563108|35572313",NA,10,NA
"2505","scaffold0003:35714542|35724811",7,1,5
"2506","scaffold0003:35714542|35783792",NA,NA,4
"2507","scaffold0003:35724625|35757332",10,NA,NA
"2508","scaffold0003:35740267|35760166",5,NA,2
"2509","scaffold0003:35855023|35855274",80,NA,9
"2510","scaffold0003:37420149|37427062",1,NA,NA
"2511","scaffold0003:37770310|37772775",9,NA,17
"2512","scaffold0003:37785172|37791439",2,14,NA
"2513","scaffold0003:38251549|38266615",3,NA,NA
"2514","scaffold0003:38266193|38270990",NA,NA,3
"2515","scaffold0003:38326434|38364837",NA,1,NA
"2516","scaffold0003:40521332|40533705",NA,NA,2
"2517","scaffold0003:40521332|40535028",NA,NA,2
"2518","scaffold0003:40888687|40898686",3,NA,NA
"2519","scaffold0003:40977927|40978388",1,NA,NA
"2520","scaffold0003:40977927|40983897",NA,NA,2
"2521","scaffold0003:41146227|41152917",47,13,4
"2522","scaffold0003:41170176|41174153",NA,12,NA
"2523","scaffold0003:41180495|41189467",15,NA,NA
"2524","scaffold0003:41181793|41189467",16,NA,NA
"2525","scaffold0003:41309073|41328158",NA,11,NA
"2526","scaffold0003:41318258|41328158",1,NA,NA
"2527","scaffold0003:41319954|41328158",1,NA,NA
"2528","scaffold0003:41700381|41702292",NA,NA,2
"2529","scaffold0003:41700381|41717658",3,NA,NA
"2530","scaffold0003:41702155|41717658",NA,4,NA
"2531","scaffold0003:41972402|41977471",NA,NA,17
"2532","scaffold0003:42172322|42173472",249,96,22
"2533","scaffold0003:42193743|42200484",2,NA,NA
"2534","scaffold0003:42359028|42360300",NA,1,NA
"2535","scaffold0003:42392746|42396189",NA,7,NA
"2536","scaffold0003:42392746|42409673",14,6,7
"2537","scaffold0003:42396082|42409673",29,33,5
"2538","scaffold0003:42403111|42409673",80,19,32
"2539","scaffold0003:42472643|42474158",282,413,211
"2540","scaffold0003:42473987|42487226",22,7,NA
"2541","scaffold0003:42508989|42509413",18,NA,5
"2542","scaffold0003:42508989|42512296",11,7,3
"2543","scaffold0003:42511613|42512296",NA,NA,1
"2544","scaffold0003:42549432|42563181",3,NA,NA
"2545","scaffold0003:42556707|42563181",1,5,NA
"2546","scaffold0003:42557833|42563181",2,4,NA
"2547","scaffold0003:42615116|42617166",96,78,42
"2548","scaffold0003:42696145|42696751",NA,10,6
"2549","scaffold0003:42702998|42703786",NA,2,3
"2550","scaffold0003:42744917|42770980",10,NA,NA
"2551","scaffold0003:42767765|42783158",NA,NA,1
"2552","scaffold0003:42774850|42786727",11,1,NA
"2553","scaffold0003:42788660|42791201",14,NA,NA
"2554","scaffold0003:42833180|42836101",NA,NA,6
"2555","scaffold0003:42892573|42894915",NA,NA,3
"2556","scaffold0003:43101940|43103545",20,24,2
"2557","scaffold0003:47603416|47609209",NA,1,NA
"2558","scaffold0003:47617211|47619223",NA,NA,1
"2559","scaffold0003:47625312|47635142",9,NA,NA
"2560","scaffold0003:47689541|47692453",4,NA,NA
"2561","scaffold0003:47710466|47738456",5,NA,NA
"2562","scaffold0003:47755222|47775765",NA,2,4
"2563","scaffold0003:47767501|47767819",NA,1,4
"2564","scaffold0003:47803379|47803581",NA,3,NA
"2565","scaffold0003:47946470|47965423",6,NA,NA
"2566","scaffold0003:47960527|47965423",NA,2,NA
"2567","scaffold0003:48030879|48042334",24,NA,1
"2568","scaffold0003:48071906|48074700",45,NA,NA
"2569","scaffold0003:48071906|48142127",3,NA,NA
"2570","scaffold0003:48116085|48142127",NA,NA,3
"2571","scaffold0003:48141933|48142127",8,7,3
"2572","scaffold0003:48668072|48690218",NA,3,1
"2573","scaffold0003:48668100|48690218",1,NA,NA
"2574","scaffold0003:48685695|48690218",7,4,13
"2575","scaffold0003:49119361|49120565",20,NA,NA
"2576","scaffold0003:49137904|49146266",NA,NA,2
"2577","scaffold0003:49226795|49235168",NA,NA,6
"2578","scaffold0003:49260491|49262022",5,NA,6
"2579","scaffold0003:49260491|49264316",1,NA,NA
"2580","scaffold0003:49264202|49267767",NA,27,NA
"2581","scaffold0003:49264202|49277331",NA,1,NA
"2582","scaffold0003:49273889|49277331",NA,5,NA
"2583","scaffold0003:49303680|49305397",3,3,5
"2584","scaffold0003:49309752|49312802",NA,4,1
"2585","scaffold0003:49322782|49325832",NA,4,NA
"2586","scaffold0003:49331628|49336522",6,13,12
"2587","scaffold0003:49360967|49370450",1,NA,4
"2588","scaffold0003:49370189|49370450",2,NA,NA
"2589","scaffold0003:49404270|49405008",NA,NA,1
"2590","scaffold0003:49404405|49404816",NA,NA,6
"2591","scaffold0003:49788830|49790791",16,NA,5
"2592","scaffold0003:49817155|49829273",3,NA,NA
"2593","scaffold0003:49825357|49829273",22,24,29
"2594","scaffold0003:49827685|49841121",6,NA,NA
"2595","scaffold0003:49888294|49888672",6,NA,3
"2596","scaffold0003:49990878|49999252",NA,NA,2
"2597","scaffold0003:50006682|50015567",NA,7,NA
"2598","scaffold0003:50011936|50018100",NA,NA,6
"2599","scaffold0003:50023639|50032420",NA,NA,2
"2600","scaffold0003:50043477|50059607",NA,NA,4
"2601","scaffold0003:50049755|50059607",11,5,4
"2602","scaffold0003:50049755|50066885",11,NA,NA
"2603","scaffold0003:50059425|50066885",23,NA,6
"2604","scaffold0003:50066699|50066885",5,NA,NA
"2605","scaffold0003:50097749|50098015",6,NA,NA
"2606","scaffold0003:50341592|50344769",8,12,NA
"2607","scaffold0003:50341592|50378793",2,NA,NA
"2608","scaffold0003:50452944|50460012",NA,NA,1
"2609","scaffold0003:50499978|50500660",3,3,5
"2610","scaffold0003:50507327|50516841",4,NA,NA
"2611","scaffold0003:50783823|50786915",4,3,NA
"2612","scaffold0003:50786762|50798207",NA,3,NA
"2613","scaffold0003:50795699|50829793",NA,NA,2
"2614","scaffold0003:50797989|50798207",24,NA,NA
"2615","scaffold0003:51071584|51072011",2,4,2
"2616","scaffold0003:51074278|51088136",NA,NA,2
"2617","scaffold0003:51085536|51088136",NA,3,NA
"2618","scaffold0003:51089304|51089747",NA,NA,2
"2619","scaffold0003:51104248|51105474",53,21,NA
"2620","scaffold0003:51376908|51384466",11,NA,NA
"2621","scaffold0003:51464435|51469178",NA,2,NA
"2622","scaffold0003:51527615|51531318",NA,6,NA
"2623","scaffold0003:51600175|51612181",NA,13,NA
"2624","scaffold0003:51607872|51615243",1,NA,NA
"2625","scaffold0003:51735198|51736741",58,4,4
"2626","scaffold0003:51735198|51773488",1,NA,NA
"2627","scaffold0003:51877894|51883785",10,NA,NA
"2628","scaffold0003:51893254|51896704",1,NA,NA
"2629","scaffold0003:51916434|51925523",3,NA,NA
"2630","scaffold0003:51916434|51944446",19,NA,NA
"2631","scaffold0003:52021374|52029813",1,NA,NA
"2632","scaffold0003:52021374|52034412",1,NA,NA
"2633","scaffold0003:52037193|52059350",5,NA,NA
"2634","scaffold0003:52051350|52051704",NA,3,NA
"2635","scaffold0003:52057089|52059350",NA,NA,31
"2636","scaffold0003:5208049|5213422",NA,NA,2
"2637","scaffold0003:5213296|5219499",7,NA,4
"2638","scaffold0003:52160471|52219315",NA,NA,1
"2639","scaffold0003:52207303|52219315",NA,NA,5
"2640","scaffold0003:52454206|52462930",36,30,9
"2641","scaffold0003:52454206|52484009",NA,NA,8
"2642","scaffold0003:52458975|52462930",14,NA,NA
"2643","scaffold0003:52464549|52475659",7,NA,NA
"2644","scaffold0003:52464549|52484009",2,NA,NA
"2645","scaffold0003:52482344|52488733",2,NA,NA
"2646","scaffold0003:52483646|52484009",23,26,30
"2647","scaffold0003:52483646|52488733",NA,10,NA
"2648","scaffold0003:52532858|52538232",5,NA,NA
"2649","scaffold0003:52542760|52542962",5,NA,NA
"2650","scaffold0003:52542760|52555913",41,26,18
"2651","scaffold0003:52544056|52555913",10,7,4
"2652","scaffold0003:52555833|52557197",NA,NA,4
"2653","scaffold0003:52639587|52639798",2,10,NA
"2654","scaffold0003:52639587|52643854",NA,NA,2
"2655","scaffold0003:52639587|52646516",3,NA,NA
"2656","scaffold0003:52639587|52656030",NA,NA,4
"2657","scaffold0003:52643723|52648003",3,NA,NA
"2658","scaffold0003:52643723|52656030",NA,NA,3
"2659","scaffold0003:52647870|52651417",1,NA,NA
"2660","scaffold0003:52647870|52653713",4,NA,1
"2661","scaffold0003:52647870|52656030",49,7,6
"2662","scaffold0003:52651306|52656030",12,NA,NA
"2663","scaffold0003:52655922|52677279",2,NA,NA
"2664","scaffold0003:52668249|52686166",NA,6,NA
"2665","scaffold0003:52677173|52686166",11,NA,NA
"2666","scaffold0003:52681582|52686166",11,NA,NA
"2667","scaffold0003:52715380|52715604",42,22,28
"2668","scaffold0003:52715380|52717535",41,37,21
"2669","scaffold0003:52715380|52725461",6,4,9
"2670","scaffold0003:52715380|52726977",9,NA,6
"2671","scaffold0003:52717406|52725461",NA,4,4
"2672","scaffold0003:52717406|52726977",8,NA,NA
"2673","scaffold0003:52725299|52726977",4,NA,NA
"2674","scaffold0003:52745279|52746890",NA,11,5
"2675","scaffold0003:52748640|52774090",6,NA,NA
"2676","scaffold0003:52749355|52762704",NA,3,NA
"2677","scaffold0003:52750603|52762704",NA,5,NA
"2678","scaffold0003:52769893|52774090",43,13,38
"2679","scaffold0003:52769893|52775247",6,NA,19
"2680","scaffold0003:52769893|52787190",NA,NA,11
"2681","scaffold0003:52771293|52774090",105,19,18
"2682","scaffold0003:52771293|52775247",31,30,19
"2683","scaffold0003:52771293|52777055",2,7,NA
"2684","scaffold0003:52771293|52787190",21,12,8
"2685","scaffold0003:52846224|52848543",5,NA,NA
"2686","scaffold0003:52910534|52925596",NA,10,NA
"2687","scaffold0003:52911336|52913204",NA,3,NA
"2688","scaffold0003:52921480|52925596",NA,NA,3
