"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100315302|100318708",4,NA,NA
"8545","scaffold0008:34539951|34545022",3,NA,NA
"8546","scaffold0008:34544891|34545945",2,NA,NA
"8547","scaffold0008:34544891|34573100",NA,6,11
"8548","scaffold0008:34544891|34591704",2,NA,NA
"8549","scaffold0008:34572985|34606945",3,NA,NA
"8550","scaffold0008:34591592|34595119",11,NA,NA
"8551","scaffold0008:34591592|34602544",NA,4,3
"8552","scaffold0008:34591592|34606945",4,3,5
"8553","scaffold0008:34595003|34602544",NA,2,NA
"8554","scaffold0008:34602366|34606945",11,7,7
"8555","scaffold0008:34602366|34618605",2,10,NA
"8556","scaffold0008:34602452|34606945",NA,NA,2
"8557","scaffold0008:34614423|34618605",NA,NA,4
"8558","scaffold0008:34615481|34615717",2,NA,NA
"8559","scaffold0008:34641612|34648180",4,NA,NA
"8560","scaffold0008:34641612|34659160",NA,6,8
"8561","scaffold0008:34871351|34903140",NA,4,NA
"8562","scaffold0008:34909877|34912861",2,NA,NA
"8563","scaffold0008:3534793|3543964",NA,NA,6
"8564","scaffold0008:35628135|35628460",4,NA,NA
"8565","scaffold0008:3564517|3565269",6,NA,NA
"8566","scaffold0008:35942785|35943016",NA,NA,10
"8567","scaffold0008:35957180|35959231",NA,NA,4
"8568","scaffold0008:35959000|35959231",14,6,20
"8569","scaffold0008:36079476|36079671",NA,NA,6
"8570","scaffold0008:36456939|36463568",2,NA,NA
"8571","scaffold0008:36618003|36618735",17,NA,NA
"8572","scaffold0008:36618003|36621094",4,NA,NA
"8573","scaffold0008:36680532|36680917",NA,4,NA
"8574","scaffold0008:36767798|36768016",NA,NA,7
"8575","scaffold0008:36769386|36769882",NA,2,NA
"8576","scaffold0008:36770585|36771106",5,NA,NA
"8577","scaffold0008:36782338|36782530",4,NA,NA
"8578","scaffold0008:37218410|37219544",6,NA,NA
"8579","scaffold0008:37487936|37491912",NA,6,NA
"8580","scaffold0008:37591587|37593558",17,7,NA
"8581","scaffold0008:37591587|37602629",3,9,NA
"8582","scaffold0008:37592660|37593558",3,NA,NA
"8583","scaffold0008:37592660|37602629",12,20,2
"8584","scaffold0008:37626391|37630186",4,NA,NA
"8585","scaffold0008:37626391|37641089",23,NA,10
"8586","scaffold0008:37626391|37652394",3,NA,NA
"8587","scaffold0008:37630072|37656713",NA,NA,5
"8588","scaffold0008:37666728|37668590",4,NA,NA
"8589","scaffold0008:37687088|37691845",4,NA,NA
"8590","scaffold0008:37983806|37988702",2,NA,5
"8591","scaffold0008:38236851|38246841",NA,7,NA
"8592","scaffold0008:38346596|38347085",NA,9,2
"8593","scaffold0008:38496338|38497108",7,NA,NA
"8594","scaffold0008:38682461|38686002",2,NA,7
"8595","scaffold0008:38734284|38736784",2,NA,5
"8596","scaffold0008:38743490|38747945",NA,12,NA
"8597","scaffold0008:38743490|38748771",14,NA,NA
"8598","scaffold0008:38743490|38756100",NA,NA,4
"8599","scaffold0008:38743490|38762942",NA,20,NA
"8600","scaffold0008:38743490|38776585",NA,NA,4
"8601","scaffold0008:38752965|38754155",39,NA,NA
"8602","scaffold0008:38752965|38756100",10,NA,NA
"8603","scaffold0008:38752965|38757115",6,NA,NA
"8604","scaffold0008:38753939|38756100",6,NA,NA
"8605","scaffold0008:38753939|38776585",NA,NA,6
"8606","scaffold0008:38762754|38776585",NA,NA,3
"8607","scaffold0008:38772463|38776585",NA,NA,7
"8608","scaffold0008:38827490|38830617",NA,10,NA
"8609","scaffold0008:38856931|38866153",3,NA,NA
"8610","scaffold0008:38908251|38910350",81,20,16
"8611","scaffold0008:38909594|38910350",1437,734,741
"8612","scaffold0008:38909626|38910350",7,NA,NA
"8613","scaffold0008:38917112|38921804",64,25,60
"8614","scaffold0008:38917112|38926034",4,NA,4
"8615","scaffold0008:38921513|38924188",35,13,8
"8616","scaffold0008:38925681|38929619",8,NA,4
"8617","scaffold0008:38928595|38929619",20,12,NA
"8618","scaffold0008:38938457|38939747",2,20,3
"8619","scaffold0008:38960006|38962084",4,NA,NA
"8620","scaffold0008:38960026|38962084",4,14,NA
"8621","scaffold0008:38964514|38967544",6,NA,NA
"8622","scaffold0008:38967424|38969877",7,NA,NA
"8623","scaffold0008:38979176|38979357",2,NA,NA
"8624","scaffold0008:39010663|39011647",2,NA,NA
"8625","scaffold0008:39010663|39017244",12,NA,NA
"8626","scaffold0008:39011583|39012615",31,30,18
"8627","scaffold0008:39011583|39017244",40,NA,22
"8628","scaffold0008:39022102|39023672",24,17,24
"8629","scaffold0008:39022294|39023434",7,NA,NA
"8630","scaffold0008:39102745|39103919",6,NA,NA
"8631","scaffold0008:39102745|39115066",NA,2,NA
"8632","scaffold0008:39114624|39115066",2,NA,NA
"8633","scaffold0008:39151360|39153154",9,15,NA
"8634","scaffold0008:39188853|39192466",51,NA,7
"8635","scaffold0008:39253716|39264752",8,NA,NA
"8636","scaffold0008:39324022|39331229",31,6,4
"8637","scaffold0008:39331024|39343548",3,NA,NA
"8638","scaffold0008:39340739|39350847",2,NA,NA
"8639","scaffold0008:39390465|39475426",NA,NA,2
"8640","scaffold0008:39466742|39484514",2,NA,NA
"8641","scaffold0008:39473413|39475426",6,8,5
"8642","scaffold0008:39473413|39484514",3,NA,NA
"8643","scaffold0008:39475340|39475765",7,NA,NA
"8644","scaffold0008:39475340|39484514",137,16,29
"8645","scaffold0008:39475340|39485141",NA,6,NA
"8646","scaffold0008:39475340|39494577",2,NA,NA
"8647","scaffold0008:39475340|39496501",7,NA,5
"8648","scaffold0008:39708803|39708961",4,NA,NA
"8649","scaffold0008:39711979|39716704",10,NA,NA
"8650","scaffold0008:39711979|39722673",7,2,NA
"8651","scaffold0008:39759998|39760231",NA,4,NA
"8652","scaffold0008:39899822|39901579",246,187,161
"8653","scaffold0008:39934390|39934570",4,NA,NA
"8654","scaffold0008:39934512|39935893",2,NA,NA
"8655","scaffold0008:39937863|39938439",NA,4,NA
"8656","scaffold0008:40017029|40020971",NA,NA,2
"8657","scaffold0008:40375790|40382362",6,6,NA
"8658","scaffold0008:40803335|40808420",2,NA,NA
"8659","scaffold0008:40803335|40820793",9,NA,NA
"8660","scaffold0008:40814162|40818409",11,NA,NA
"8661","scaffold0008:40820643|40829626",10,6,3
"8662","scaffold0008:40829300|40835117",NA,NA,2
"8663","scaffold0008:40829473|40834600",4,NA,2
"8664","scaffold0008:41190440|41196539",3,NA,NA
"8665","scaffold0008:41308973|41309159",7,NA,NA
"8666","scaffold0008:41327419|41329245",315,170,22
"8667","scaffold0008:41327419|41343471",2,NA,NA
"8668","scaffold0008:41518013|41538716",NA,2,7
"8669","scaffold0008:41520339|41538716",3,14,NA
"8670","scaffold0008:41538460|41538716",12,NA,NA
"8671","scaffold0008:41638363|41657382",4,NA,NA
"8672","scaffold0008:41654167|41657382",16,NA,NA
"8673","scaffold0008:41654167|41673572",NA,3,NA
"8674","scaffold0008:41673398|41693571",NA,10,NA
"8675","scaffold0008:42058649|42063125",6,NA,NA
"8676","scaffold0008:42101367|42133576",2,NA,NA
"8677","scaffold0008:42101367|42133604",6,14,NA
"8678","scaffold0008:42108331|42111226",4,NA,NA
"8679","scaffold0008:42108331|42133604",NA,NA,4
"8680","scaffold0008:42127370|42133604",7,NA,NA
"8681","scaffold0008:42700722|42700973",NA,8,NA
"8682","scaffold0008:42706913|42707107",2,NA,NA
"8683","scaffold0008:42709058|42721490",40,7,5
"8684","scaffold0008:42719503|42721490",5,NA,8
"8685","scaffold0008:42719544|42719922",NA,5,4
"8686","scaffold0008:42719544|42721490",1239,666,765
"8687","scaffold0008:42729799|42730187",4,NA,NA
"8688","scaffold0008:42856551|42860812",6,NA,NA
"8689","scaffold0008:43102510|43102714",NA,NA,11
"8690","scaffold0008:43116580|43116971",4,NA,NA
"8691","scaffold0008:43956911|43958580",NA,NA,3
"8692","scaffold0008:44175755|44178773",2,NA,NA
"8693","scaffold0008:44234830|44238066",NA,13,NA
"8694","scaffold0008:44234830|44243902",2,16,8
"8695","scaffold0008:44351616|44354936",28,6,NA
"8696","scaffold0008:44614348|44615929",5,NA,NA
"8697","scaffold0008:44614348|44634415",15,NA,4
"8698","scaffold0008:44845259|44863776",NA,4,NA
"8699","scaffold0008:44922967|44923321",8,NA,NA
"8700","scaffold0008:45069659|45074713",8,NA,4
"8701","scaffold0008:45069659|45085296",24,10,5
"8702","scaffold0008:45102732|45103070",5,NA,2
"8703","scaffold0008:45102732|45111826",8,NA,NA
"8704","scaffold0008:45122565|45128725",NA,8,NA
"8705","scaffold0008:45128632|45132337",NA,NA,7
"8706","scaffold0008:45156002|45165442",2,NA,NA
"8707","scaffold0008:45313200|45313527",2,NA,NA
"8708","scaffold0008:45325931|45326222",2,NA,NA
"8709","scaffold0008:45435985|45436403",2,NA,NA
"8710","scaffold0008:45687167|45687447",2,NA,NA
"8711","scaffold0008:45738546|45805297",NA,6,NA
"8712","scaffold0008:45776653|45805297",NA,19,NA
"8713","scaffold0008:45805130|45805297",NA,NA,10
"8714","scaffold0008:45805130|45842155",2,NA,NA
"8715","scaffold0008:45805130|45842159",NA,2,NA
"8716","scaffold0008:45805130|45853018",52,57,32
"8717","scaffold0008:45837363|45853018",NA,12,3
"8718","scaffold0008:45849541|45853018",414,240,279
"8719","scaffold0008:45851548|45851704",12,NA,3
"8720","scaffold0008:46049017|46052686",NA,6,NA
"8721","scaffold0008:46117082|46124287",9,NA,NA
"8722","scaffold0008:46145889|46147296",NA,NA,8
"8723","scaffold0008:4647228|4693939",6,NA,NA
"8724","scaffold0008:46548622|46551457",NA,NA,2
"8725","scaffold0008:4674296|4677815",NA,NA,2
"8726","scaffold0008:47043099|47094432",4,NA,NA
"8727","scaffold0008:47138190|47145633",4,NA,NA
"8728","scaffold0008:47223079|47231768",6,NA,NA
"8729","scaffold0008:47234417|47241314",NA,NA,2
"8730","scaffold0008:47236999|47241314",4,NA,NA
"8731","scaffold0008:47268654|47272853",NA,2,NA
"8732","scaffold0008:4795985|4796469",17,23,17
"8733","scaffold0008:4795985|4799432",9,NA,2
"8734","scaffold0008:4802487|4803834",NA,NA,4
"8735","scaffold0008:48981118|48991558",6,NA,NA
"8736","scaffold0008:48981118|49041601",5,10,NA
"8737","scaffold0008:49608850|49609010",NA,NA,4
"8738","scaffold0008:49640252|49720156",2,NA,NA
"8739","scaffold0008:5045395|5065222",NA,NA,3
"8740","scaffold0008:5060334|5060718",NA,NA,4
"8741","scaffold0008:5095192|5103595",6,NA,NA
"8742","scaffold0008:5109105|5110136",548,181,316
"8743","scaffold0008:5109105|5113494",11,11,12
"8744","scaffold0008:5114136|5116869",NA,8,9
"8745","scaffold0008:5118184|5121533",100,84,97
"8746","scaffold0008:51220057|51253862",10,NA,NA
"8747","scaffold0008:51312941|51313148",NA,10,NA
"8748","scaffold0008:5145829|5148032",NA,NA,5
"8749","scaffold0008:5170552|5178469",NA,4,NA
"8750","scaffold0008:5178134|5183151",4,NA,NA
"8751","scaffold0008:51865506|51870378",6,NA,4
"8752","scaffold0008:52514554|52515144",3,NA,NA
"8753","scaffold0008:5278153|5278452",NA,NA,3
"8754","scaffold0008:53011627|53036508",NA,NA,3
"8755","scaffold0008:53029283|53036508",NA,7,NA
"8756","scaffold0008:53029283|53045929",NA,10,NA
"8757","scaffold0008:53275329|53357044",12,NA,NA
"8758","scaffold0008:5335135|5337075",3,NA,NA
"8759","scaffold0008:5335135|5340769",NA,9,NA
"8760","scaffold0008:5396612|5415433",13,8,2
"8761","scaffold0008:5401322|5410476",4,NA,NA
"8762","scaffold0008:54434063|54437132",65,17,3
"8763","scaffold0008:54565697|54566055",2,NA,NA
"8764","scaffold0008:54643169|54643866",5,NA,NA
"8765","scaffold0008:547516|551209",4,NA,NA
"8766","scaffold0008:54755760|54757545",33,33,25
"8767","scaffold0008:54760406|54761425",4,NA,NA
"8768","scaffold0008:54983696|54985607",3,NA,NA
"8769","scaffold0008:55052874|55059304",NA,NA,6
"8770","scaffold0008:55059171|55062963",4,NA,NA
"8771","scaffold0008:55061902|55062963",16,NA,3
"8772","scaffold0008:55090306|55091810",19,46,19
"8773","scaffold0008:55103835|55104242",NA,4,NA
"8774","scaffold0008:55142237|55142554",9,NA,10
"8775","scaffold0008:55142237|55157450",19,NA,4
"8776","scaffold0008:55162295|55171746",NA,NA,3
"8777","scaffold0008:55216510|55217606",25,28,NA
"8778","scaffold0008:55549019|55570403",NA,NA,3
"8779","scaffold0008:55754480|55760502",NA,NA,4
"8780","scaffold0008:55795296|55796875",2,NA,NA
"8781","scaffold0008:55843974|55845594",2,NA,NA
"8782","scaffold0008:55859136|55868723",NA,NA,8
"8783","scaffold0008:5589502|5599270",6,NA,13
"8784","scaffold0008:56019|56409",2,4,NA
"8785","scaffold0008:56019|56425",NA,NA,4
"8786","scaffold0008:56019|69901",12,NA,NA
"8787","scaffold0008:5604227|5605370",3,NA,NA
"8788","scaffold0008:56089474|56093283",NA,NA,3
"8789","scaffold0008:56089474|56100203",NA,6,NA
"8790","scaffold0008:56089474|56103585",NA,10,NA
"8791","scaffold0008:56090680|56103585",NA,NA,2
"8792","scaffold0008:56118631|56123135",4,NA,NA
"8793","scaffold0008:56118708|56121573",6,NA,NA
"8794","scaffold0008:56278415|56278592",2,NA,NA
"8795","scaffold0008:56405422|56407017",2,NA,NA
"8796","scaffold0008:56443673|56452554",10,2,13
"8797","scaffold0008:56609971|56614303",16,13,NA
"8798","scaffold0008:56609971|56619348",4,NA,6
"8799","scaffold0008:56609971|56621773",11,27,2
"8800","scaffold0008:56621627|56649591",NA,NA,6
"8801","scaffold0008:56629273|56632839",NA,12,NA
"8802","scaffold0008:56642310|56643417",NA,11,NA
"8803","scaffold0008:56646561|56650252",NA,8,NA
"8804","scaffold0008:56656155|56656339",NA,NA,4
"8805","scaffold0008:56693525|56711161",NA,9,NA
"8806","scaffold0008:56711034|56722576",20,NA,NA
"8807","scaffold0008:56845308|56851094",7,NA,NA
"8808","scaffold0008:57085796|57085955",2,NA,NA
"8809","scaffold0008:57199939|57273306",NA,6,NA
"8810","scaffold0008:57202509|57273306",10,NA,NA
"8811","scaffold0008:57514749|57515585",68,14,8
"8812","scaffold0008:57514749|57527880",44,41,17
"8813","scaffold0008:57662125|57665328",4,NA,NA
"8814","scaffold0008:5767567|5782181",6,NA,NA
"8815","scaffold0008:5767567|5808935",2,NA,NA
"8816","scaffold0008:5778247|5782181",6,14,NA
"8817","scaffold0008:5780761|5808935",NA,NA,6
"8818","scaffold0008:5897007|5897660",NA,NA,2
"8819","scaffold0008:5910754|5912842",227,130,109
"8820","scaffold0008:5910754|5928868",NA,4,NA
"8821","scaffold0008:5926794|5928868",6,NA,NA
"8822","scaffold0008:5926794|5943220",8,NA,NA
"8823","scaffold0008:5926794|5968857",6,NA,NA
"8824","scaffold0008:5943007|5946868",3,4,NA
"8825","scaffold0008:5943007|5956297",9,NA,17
"8826","scaffold0008:61199153|61211718",3,NA,NA
"8827","scaffold0008:61211531|61224338",14,NA,NA
"8828","scaffold0008:61211531|61232560",NA,8,NA
"8829","scaffold0008:61543416|61544024",2,NA,NA
"8830","scaffold0008:61543920|61558281",26,NA,NA
"8831","scaffold0008:61558071|61575744",5,NA,NA
"8832","scaffold0008:61743186|61745034",NA,3,NA
"8833","scaffold0008:61743186|61757425",NA,4,NA
"8834","scaffold0008:61743186|61760275",NA,NA,8
"8835","scaffold0008:61743186|61787680",15,NA,2
"8836","scaffold0008:61750508|61760275",10,NA,NA
"8837","scaffold0008:61755286|61760275",NA,NA,2
"8838","scaffold0008:62132341|62132712",NA,NA,6
"8839","scaffold0008:62132629|62141864",4,NA,NA
"8840","scaffold0008:62141789|62152892",NA,10,NA
"8841","scaffold0008:62154092|62154303",NA,NA,4
"8842","scaffold0008:62392398|62393212",NA,9,NA
"8843","scaffold0008:62393724|62394481",NA,NA,3
"8844","scaffold0008:62393831|62394481",35,28,14
"8845","scaffold0008:6246678|6297844",2,NA,10
"8846","scaffold0008:62551912|62552503",NA,NA,4
"8847","scaffold0008:62551912|62553345",49,NA,NA
"8848","scaffold0008:63092623|63103403",NA,21,3
"8849","scaffold0008:63124347|63214861",4,NA,NA
"8850","scaffold0008:63180272|63214861",NA,NA,2
"8851","scaffold0008:63200664|63214861",15,12,11
"8852","scaffold0008:63200664|63244987",NA,NA,8
"8853","scaffold0008:63208190|63214861",18,5,10
"8854","scaffold0008:63208190|63242800",NA,NA,5
"8855","scaffold0008:63213348|63244987",3,NA,6
"8856","scaffold0008:63214820|63244987",NA,NA,3
"8857","scaffold0008:63438224|63439158",6,NA,NA
"8858","scaffold0008:63438224|63442078",NA,12,NA
"8859","scaffold0008:63442982|63445552",4,NA,NA
"8860","scaffold0008:63444054|63444977",7,NA,NA
"8861","scaffold0008:63453275|63453473",4,NA,NA
"8862","scaffold0008:63482208|63495744",4,NA,3
"8863","scaffold0008:63491930|63550945",10,NA,NA
"8864","scaffold0008:63494319|63495744",NA,3,NA
"8865","scaffold0008:63494319|63507028",NA,8,NA
"8866","scaffold0008:63506917|63550945",25,NA,4
"8867","scaffold0008:63506917|63555101",NA,12,NA
"8868","scaffold0008:63538661|63539936",NA,NA,9
"8869","scaffold0008:63539317|63539936",10,8,2
"8870","scaffold0008:63539317|63550945",50,20,6
"8871","scaffold0008:63539317|63555101",9,NA,4
"8872","scaffold0008:63550765|63555101",35,25,23
"8873","scaffold0008:63656287|63657987",NA,NA,4
"8874","scaffold0008:63657342|63657987",NA,23,2
"8875","scaffold0008:63677750|63684160",4,NA,NA
"8876","scaffold0008:63683676|63684160",16,NA,10
"8877","scaffold0008:63688422|63689479",2,NA,NA
"8878","scaffold0008:63693144|63694844",NA,NA,4
"8879","scaffold0008:63736433|63737136",5,NA,26
"8880","scaffold0008:63736941|63741293",NA,NA,3
"8881","scaffold0008:63750246|63753952",37,NA,12
"8882","scaffold0008:63754710|63755555",NA,2,NA
"8883","scaffold0008:63754710|63758829",3,NA,NA
"8884","scaffold0008:63758724|63767831",NA,NA,7
"8885","scaffold0008:63767624|63770191",NA,12,NA
"8886","scaffold0008:63769409|63770191",124,66,70
"8887","scaffold0008:63812187|63815409",8,NA,NA
"8888","scaffold0008:63822351|63822582",4,NA,NA
"8889","scaffold0008:63823454|63823906",7,NA,NA
"8890","scaffold0008:63823454|63825517",9,NA,NA
"8891","scaffold0008:63992432|63992585",2,NA,NA
"8892","scaffold0008:63994124|63998346",6,NA,NA
"8893","scaffold0008:64064257|64066302",NA,10,NA
"8894","scaffold0008:64084066|64086354",2,NA,NA
"8895","scaffold0008:64102328|64105963",NA,NA,3
"8896","scaffold0008:64102445|64105963",10,NA,18
"8897","scaffold0008:64104982|64107382",4,NA,NA
"8898","scaffold0008:64138527|64151943",NA,9,NA
"8899","scaffold0008:64138527|64151946",NA,2,2
"8900","scaffold0008:64167085|64171653",NA,NA,2
"8901","scaffold0008:64261693|64273686",2,NA,3
"8902","scaffold0008:64352125|64357802",8,NA,NA
"8903","scaffold0008:64354368|64357802",3,NA,NA
"8904","scaffold0008:64355793|64357802",11,NA,NA
"8905","scaffold0008:64365157|64365507",14,NA,7
"8906","scaffold0008:64414090|64421656",2,NA,NA
"8907","scaffold0008:64421068|64426498",4,NA,NA
"8908","scaffold0008:64436108|64436491",NA,NA,3
"8909","scaffold0008:64456007|64458157",NA,6,NA
"8910","scaffold0008:64458957|64459788",NA,NA,6
"8911","scaffold0008:64465726|64469568",NA,12,3
"8912","scaffold0008:64473326|64474651",NA,11,NA
"8913","scaffold0008:64476168|64476912",3,NA,NA
"8914","scaffold0008:64647597|64649124",NA,NA,4
"8915","scaffold0008:64647597|64664685",5,NA,NA
"8916","scaffold0008:64648893|64649124",6,NA,NA
"8917","scaffold0008:64656830|64658430",178,281,205
"8918","scaffold0008:64656830|64664685",42,NA,5
"8919","scaffold0008:64662207|64662486",5,NA,NA
"8920","scaffold0008:64664394|64668163",NA,NA,3
"8921","scaffold0008:64668163|64668599",2,NA,NA
"8922","scaffold0008:64675317|64677317",4,NA,NA
"8923","scaffold0008:64683125|64683606",NA,NA,3
"8924","scaffold0008:6474549|6474985",2,NA,NA
"8925","scaffold0008:64989832|65008293",NA,NA,8
"8926","scaffold0008:65431182|65432474",NA,NA,5
"8927","scaffold0008:65545810|65547153",2,NA,NA
"8928","scaffold0008:65554313|65554940",8,NA,NA
"8929","scaffold0008:65709915|65710467",66,65,8
"8930","scaffold0008:65709915|65717900",2,NA,NA
"8931","scaffold0008:65709931|65710450",NA,16,NA
"8932","scaffold0008:65766168|65766369",NA,NA,5
"8933","scaffold0008:65773190|65774438",NA,2,NA
"8934","scaffold0008:65827694|65828065",2,NA,NA
"8935","scaffold0008:65885828|65887459",NA,2,NA
"8936","scaffold0008:65897349|65898102",NA,NA,9
"8937","scaffold0008:66267009|66267350",NA,NA,2
"8938","scaffold0008:66508021|66515675",9,NA,NA
"8939","scaffold0008:66619255|66619476",20,NA,9
"8940","scaffold0008:66622387|66630773",NA,NA,2
"8941","scaffold0008:66630652|66643814",NA,NA,4
"8942","scaffold0008:66635972|66643814",NA,4,NA
"8943","scaffold0008:66641649|66643814",9,NA,5
"8944","scaffold0008:66665380|66666066",104,13,25
"8945","scaffold0008:66666808|66666989",NA,6,NA
"8946","scaffold0008:66702974|66719335",NA,6,NA
"8947","scaffold0008:66702974|66721012",NA,NA,4
"8948","scaffold0008:66710380|66721012",6,30,19
"8949","scaffold0008:66975986|66982356",NA,NA,7
"8950","scaffold0008:67053159|67055924",3,NA,NA
"8951","scaffold0008:67235943|67236206",NA,3,NA
"8952","scaffold0008:67360020|67362408",10,NA,NA
"8953","scaffold0008:67460672|67461901",NA,17,NA
"8954","scaffold0008:67462521|67463164",NA,NA,8
"8955","scaffold0008:67467310|67469258",4,NA,NA
"8956","scaffold0008:67478013|67480305",2,NA,NA
"8957","scaffold0008:67479197|67480305",NA,NA,6
"8958","scaffold0008:67482457|67483157",3,NA,2
"8959","scaffold0008:67501661|67502466",NA,NA,4
"8960","scaffold0008:67501661|67504516",NA,3,2
"8961","scaffold0008:67504317|67506332",11,NA,NA
"8962","scaffold0008:67504317|67506707",6,NA,NA
"8963","scaffold0008:67508455|67508707",NA,NA,4
"8964","scaffold0008:67529581|67529801",5,NA,NA
"8965","scaffold0008:67535770|67538207",4,NA,NA
"8966","scaffold0008:67615638|67637380",NA,NA,13
"8967","scaffold0008:67747939|67755787",9,4,NA
"8968","scaffold0008:67844854|67845267",NA,NA,4
"8969","scaffold0008:67918417|67925341",5,NA,NA
"8970","scaffold0008:67957842|67958620",4,NA,NA
"8971","scaffold0008:68079154|68079320",2,NA,NA
"8972","scaffold0008:68090815|68093420",NA,NA,2
"8973","scaffold0008:68103791|68107830",NA,NA,12
"8974","scaffold0008:68107720|68108021",7,NA,NA
"8975","scaffold0008:6961584|6969413",31,NA,14
"8976","scaffold0008:6967610|6969413",8,NA,NA
"8977","scaffold0008:6968501|6969413",14,NA,9
"8978","scaffold0008:7018908|7030100",NA,NA,2
"8979","scaffold0008:7032541|7037813",8,NA,NA
"8980","scaffold0008:7040742|7041354",NA,2,NA
"8981","scaffold0008:7253304|7269298",NA,4,NA
"8982","scaffold0008:7868662|7967415",2,NA,NA
"8983","scaffold0008:7875862|7878606",3,NA,NA
"8984","scaffold0008:7875862|7880021",15,NA,NA
"8985","scaffold0008:7875862|7880053",17,NA,NA
"8986","scaffold0008:7958596|7958818",5,NA,NA
"8987","scaffold0008:7967166|7969217",NA,NA,8
"8988","scaffold0008:8797360|8797532",12,NA,NA
"8989","scaffold0008:9390809|9418680",4,NA,NA
"8990","scaffold0008:9399573|9418680",NA,11,NA
"8991","scaffold0008:9435110|9458197",4,NA,NA
"8992","scaffold0008:9551698|9554711",2,NA,NA
"8993","scaffold0008:9586362|9590711",40,NA,NA
"8994","scaffold0008:9615902|9616933",8,2,NA
"8995","scaffold0008:9708316|9712201",8,NA,NA
"8996","scaffold0009:10014106|10014812",NA,NA,4
"8997","scaffold0009:10014106|10046019",NA,NA,3
"8998","scaffold0009:10062985|10063752",NA,14,NA
"8999","scaffold0009:1006957|1010695",4,NA,NA
"9000","scaffold0009:1006957|1019506",22,12,5
"9001","scaffold0009:1008290|1010695",6,NA,NA
"9002","scaffold0009:1008290|1019506",5,NA,NA
"9003","scaffold0009:1014165|1019506",7,NA,NA
"9004","scaffold0009:1016141|1019506",66,24,16
"9005","scaffold0009:10565327|10583826",7,NA,NA
"9006","scaffold0009:10568187|10583826",2,NA,NA
"9007","scaffold0009:10568194|10583826",45,34,31
"9008","scaffold0009:10568241|10572622",29,6,2
"9009","scaffold0009:10568241|10583826",164,59,67
"9010","scaffold0009:10568241|10591767",NA,NA,2
"9011","scaffold0009:10572536|10583826",76,55,130
"9012","scaffold0009:10574595|10583826",7,NA,12
"9013","scaffold0009:10637243|10640852",NA,3,NA
"9014","scaffold0009:10640372|10640852",42,12,28
"9015","scaffold0009:10660552|10665641",2,NA,NA
"9016","scaffold0009:10662788|10663313",6,NA,9
"9017","scaffold0009:10662788|10666807",3,NA,NA
"9018","scaffold0009:10695695|10704005",NA,NA,5
"9019","scaffold0009:10757717|10772329",2,NA,NA
"9020","scaffold0009:10764943|10768777",2,NA,NA
"9021","scaffold0009:10768542|10768777",8,NA,NA
"9022","scaffold0009:10820981|10845896",NA,2,NA
"9023","scaffold0009:10828691|10845896",41,18,12
"9024","scaffold0009:108969|109175",6,NA,4
"9025","scaffold0009:109185|109489",4,NA,NA
"9026","scaffold0009:11092828|11094916",10,20,2
"9027","scaffold0009:11092828|11141695",5,NA,NA
"9028","scaffold0009:11133803|11141695",13,21,4
"9029","scaffold0009:11133803|11151091",3,8,6
"9030","scaffold0009:11194472|11228915",NA,NA,2
"9031","scaffold0009:11414445|11416527",NA,3,NA
"9032","scaffold0009:11447962|11448121",NA,NA,3
"9033","scaffold0009:11448958|11512508",4,NA,3
"9034","scaffold0009:11453312|11512508",NA,NA,6
"9035","scaffold0009:11475447|11512508",49,53,5
"9036","scaffold0009:11511915|11512508",4,NA,NA
"9037","scaffold0009:12277784|12301438",NA,5,NA
"9038","scaffold0009:12301359|12324934",NA,NA,2
"9039","scaffold0009:12301359|12339276",NA,NA,2
"9040","scaffold0009:12313105|12317867",NA,NA,4
"9041","scaffold0009:12313105|12324934",8,NA,NA
"9042","scaffold0009:12313105|12336087",15,NA,NA
"9043","scaffold0009:12313105|12339395",14,15,5
"9044","scaffold0009:12313105|12341472",NA,2,NA
"9045","scaffold0009:12313105|12362302",NA,NA,2
"9046","scaffold0009:12373473|12426221",NA,NA,2
"9047","scaffold0009:1240256|1240566",4,NA,NA
"9048","scaffold0009:1242629|1245278",8,6,NA
"9049","scaffold0009:1242629|1257339",2,NA,NA
"9050","scaffold0009:1250730|1257339",NA,NA,3
"9051","scaffold0009:1269305|1273594",6,NA,NA
"9052","scaffold0009:12700098|12717003",4,NA,NA
"9053","scaffold0009:1271494|1277515",NA,NA,4
"9054","scaffold0009:128229|128446",6,NA,NA
"9055","scaffold0009:13059733|13113544",NA,NA,6
"9056","scaffold0009:13167994|13170188",NA,NA,3
"9057","scaffold0009:13172426|13175572",12,NA,NA
"9058","scaffold0009:13189978|13191935",4,NA,NA
"9059","scaffold0009:13189978|13195113",23,8,NA
"9060","scaffold0009:13266162|13268222",33,9,8
"9061","scaffold0009:13268111|13272203",2,NA,NA
"9062","scaffold0009:13791708|13796541",NA,8,NA
"9063","scaffold0009:13807024|13826676",4,NA,NA
"9064","scaffold0009:13807024|13832178",2,NA,3
"9065","scaffold0009:13819428|13838117",26,36,5
"9066","scaffold0009:13824310|13838117",6,8,NA
"9067","scaffold0009:13826518|13838117",42,35,55
"9068","scaffold0009:13837915|13917179",3,NA,NA
